,,capex,,,,2014,496.5,,EUR,,,,,"Pérez-Fortes, 2015",Table 3
,,capex,,,,2019,790,,USD,,,t,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,capex,,,,2030,595,,USD,,,t,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,fopex_tot,,,,,25,,EUR,,,,"This source states fixed cost of 11 MEUR/a for a capacity of 440 kt/a, which yields total fixed OPEX of 11000/440=25 EUR/t.","Pérez-Fortes, 2015",Table 3
,,fopex_rel,,,,,1.5,,percent,,,,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,energy_dem,elec,,,,1.5,,MWh,,,,,"DECHEMA, 2017",Section 4.4.3
,,energy_dem,elec,,,,0.3,,MWh,,,,"data given in the table as 1.07 MJ/kg. Converted manually by C.B to MWh/t. ","Soler, 2022",Table 3
,,energy_dem,elec,,,2019,25.4,,GJ,,,t,"See ""Assumptions"" of the report. Here, we have GJ(el)/t(MeOH)",IEA The future of Hydrogen (2019)
,,energy_dem,elec,,,2030,23.7,,GJ,,,t,"See ""Assumptions"" of the report. Here, we have GJ(el)/t(MeOH)",IEA The future of Hydrogen (2019)
,,feedstock_dem,co2,,,,1.46,,t,,,,,"Pérez-Fortes, 2015",Table 1
,,feedstock_dem,co2,,,,1.373,,t,,,,,"DECHEMA, 2017",Section 4.4.3
,,feedstock_dem,co2,,,,1.4,,t,,,,,"Soler, 2022",Table 3
,,feedstock_dem,h2,,,,0.199,,t,,,,,"Pérez-Fortes, 2015",Table 1
,,feedstock_dem,h2,,,,0.193,,t,,,,,"Soler, 2022",Table 3
,,feedstock_dem,h2,,,,189,,kg,,,,,"DECHEMA, 2017",Section 4.4.3
,,lifetime,,,,,25,,year,,,,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
