subtech,mode,type,flow_type,component,region,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,src_ref,src_comment
Alkaline,,capex,,Full plant,,,950,450,USD,,,calculated from range given in report,IEA Electrolyser special report
Alkaline,,capex,,Electrolyser system,,,400,,EUR,,,for a 100 MW(el) electrolyser,Vartiainen et al. (2022)
Alkaline,,capex,,Electrolyser system,,,140,,EUR,,,for a 100 MW(el) electrolyser,Vartiainen et al. (2022)
Alkaline,,capex,,Full plant,,2030,444,,EUR,,,for a 100 MW(el) electrolyser,ISE Fraunhofer (2021)
Alkaline,,capex,,Full plant,,2030,726,,EUR,,,for a 5 MW(el) electrolyser,ISE Fraunhofer (2021)
Alkaline,,capex,,Full plant,,2050,134,,USD,,,"optimistic scenario, from IRENA report Green Hydrogen cost reduction",IRENA Global Hydrogen trade costs (2022)
Alkaline,,capex,,Full plant,,2050,326,,USD,,,"pessimistic scenario, from IRENA report Green Hydrogen cost reduction",IRENA Global Hydrogen trade costs (2022)
PEM,,capex,,Full plant,,,1450,350,USD,,,calculated from range given in report,IEA Electrolyser special report
PEM,,capex,,Full plant,,2030,500,,EUR,,,for a 100 MW(el) electrolyser,ISE Fraunhofer (2021)
PEM,,capex,,Full plant,,2030,730,,EUR,,,for a 5 MW(el) electrolyser,ISE Fraunhofer (2021)
SOEC,,capex,,Full plant,,,4200,1400,USD,,,calculated from range given in report,IEA Electrolyser special report
Alkaline,,fopex,,,,,20,5,EUR/a,,kW,electrolyser annual maintenance costs,ISE Fraunhofer (2021)
Alkaline,,fopex_rel,,,,,1,,percent,,,"percent of CAPEX, value for a solar PV plant",IRENA Global Hydrogen trade costs (2022)
Alkaline,,fopex_rel,,,,,3,,percent,,,"percent of CAPEX, value for onshore wind",IRENA Global Hydrogen trade costs (2022)
PEM,,fopex,,,,,15,5,EUR/a,,kW,electrolyser annual maintenance costs,ISE Fraunhofer (2021)
Alkaline,,demand,elec,,,2050,45,,kWh,,kg,"LHV efficiency. Optimistic scenario, from IRENA report Green Hydrogen cost reduction",IRENA Global Hydrogen trade costs (2022)
Alkaline,,demand,elec,,,2050,48,,kWh,,kg,"LHV efficiency. Pessimistic scenario, from IRENA report Green Hydrogen cost reduction",IRENA Global Hydrogen trade costs (2022)
PEM,,demand,elec,,,,54.2,,kWh,,kg,"Based on life cycle inventory, from Ecoinvent v3.4",Al-Qahtani et al. (2021)
PEM,,demand,water,,,,10,,kg,,kg,"Based on life cycle inventory, from Ecoinvent v3.4",Al-Qahtani et al. (2021)
,,demand,water,,,,9,,kg,,kg,The demand of water amounts to 9kg per kg of hydrogen.,"IEA, 2021"
,,fopex_spec,,,Chile,,13.6,,USD,,kW a,"units actually given in EUR/kW.a , correct later.",Yates et al. (2020)
,,fopex_spec,,,Chile,,20.5,,USD,,kW a,"units actually given in EUR/kW.a , correct later.",Yates et al. (2020)
Alkaline,,demand,elec,,,2030,48.5,,kWh,,kg,"LHV efficiency. Optimistic scenario, from IRENA report Green Hydrogen cost reduction",IRENA Global Hydrogen trade costs (2022)
Alkaline,,demand,elec,,,2030,52.2,,kWh,,kg,"LHV efficiency. Pessimistic scenario, from IRENA report Green Hydrogen cost reduction",IRENA Global Hydrogen trade costs (2022)
Alkaline,,demand,elec,,,,53.3,,kWh,,kg,Enapter current electrolyser performance,Enapter(n.d.)
,,lifetime,,,,,20,,year,,,whole system lifetime,Ueckerdt et al.(2021)
PEM,,lifetime,system,,,2030,20,,year,,,,Hank et al.(2020)
PEM,,fopex_rel,,,,2030,2,,percent,,,,Hank et al.(2020)
PEM,,fopex,,,,2020,40,,EUR/a,2,MW,Weird units. Source is here: https://www.enapter.com/newsroom/h2-view-exclusive-calculating-the-cost-of-green-hydrogen and hand conversion is done here,Chrometzka et al.(2020)
Alkaline,,capex,,,,,800,,EUR,,,Optimistic estimation,Tenhumberg et al. (2020)
Alkaline,,capex,,,,,1500,,EUR,,,Pessimistic estimation,Tenhumberg et al. (2020)
PEM,,capex,,,,,1400,,EUR,,,Optimistic estimation,Tenhumberg et al. (2020)
PEM,,capex,,,,,2100,,EUR,,,Pessimistic estimation,Tenhumberg et al. (2020)
SOEC,,capex,,,,,2000,,EUR,,,Minimum value,Tenhumberg et al. (2020)
Alkaline,,demand,elec,,,,4.64,,kWh,,,,Tenhumberg et al. (2020)
PEM,,demand,elec,,,,4.83,,kWh,,,,Tenhumberg et al. (2020)
SOEC,,demand,elec,,,,3.7,,kWh,,,,Tenhumberg et al. (2020)
SOEC,,demand,heat,,,,0.7,,kWh,,,,Tenhumberg et al. (2020)
SOEC,,demand,elec,,,,3.25,,kWh,,,,Tenhumberg et al. (2020)
SOEC,,demand,heat,,,,1.27,,kWh,,,,Tenhumberg et al. (2020)
