subtech,mode,type,flow_type,component,region,period,reported_value,reported_unc,reported_unit,conv_factor,reference_value,reference_unit,comment,src_ref,src_comment
Catalytic,,total_cost,,,,,1.4,,USD,,,GJ,Fixed bed,Kiani et al. (2021)
,,capex,,,,2014,400,,EUR,,,,"for a 5MW plant, 20 bar operating pressure",Graf et al. (2014)
,,capex,,,,2014,130,,EUR,,,,"for a 110MW plant, 20 bar operating pressure",Graf et al. (2014)
,,capex,,,,2020,800,,EUR,,,,,Milanzi et al. (2018)
,,capex,,,,2030,400,,EUR,,,,,Milanzi et al. (2018)
,,capex,,,,2050,300,,EUR,,,,,Milanzi et al. (2018)
,,energy_eff,elec,,,,80,,percent,,,,,Ueckerdt et al. (2021)
,,ocf,,,,,80,,percent,,,,,Ueckerdt et al. (2021)
,,lifetime,,,,,20,,year,,,,,Ueckerdt et al. (2021)
Catalytic,,capex,,,,2017,800,,EUR,,,,,Thema et al. (2019)
Catalytic,,capex,,,,2050,130,,EUR,,,,,Thema et al. (2019)
Catalytic,,capex,,,,2050,400,,EUR,,,,,Thema et al. (2019)
Biological,,capex,,,,2017,1200,,EUR,,,,,Thema et al. (2019)
Biological,,capex,,,,2050,300,,EUR,,,,,Thema et al. (2019)
,,capex,,,,2020,845,,USD,,,,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,capex,,,,2030,735,,USD,,,,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,energy_eff,elec,,,2020,77,,percent,,,,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,fopex_rel,,,,2020,4,,percent,,,,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,lifetime,,,,2020,30,,year,,,,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019)
,,energy_dem,elec,,,2020,0.013,,GJ,,,GJ,"See ""Assumptions"" of the report. Here, we have GJ(el)/GJ(prod)",IEA The future of Hydrogen (2019)
,,capex,,,,2030,215,,EUR,,,,per kWH2,Fasihi et al. (2015)
,,fopex_rel,,,,2030,3,,percent,,,,,Fasihi et al. (2015)
,,lifetime,,,,2030,30,,year,,,,,Fasihi et al. (2015)
,,energy_eff,,,,2030,77.9,,percent,,,,H2 to SNG efficiency,Fasihi et al. (2015)
,,feedstock_dem,co2,,,,0.2,,t,,,,,???
,,feedstock_dem,h2,,,,0.037,,t,,,,,???
