subtech,mode,type,flow_type,component,region,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,src_ref,src_comment
,,capex,,Liquefaction,,2030,7265,,EUR,,kg,plant capacity of 100MW (LHV) of methane output,Lux et al. (2021)
,,fopex_abs,,Liquefaction,,2030,437,,EUR,,kg/a,plant capacity of 100MW (LHV) of methane output,Lux et al. (2021)
Cascade,,capex,,Liquefaction,Trinidad,2002,354,,USD,,t/a,process name: ConocoPhillips Optimized Cascade,Zhang et al. (2020)
Cascade,,capex,,Liquefaction,Australia,2015,1460,,USD,,t/a,process name: ConocoPhillips Optimized Cascade,Zhang et al. (2020)
Cascade,,capex,,Liquefaction,US,2019,1044,,USD,,t/a,process name: ConocoPhillips Optimized Cascade,Zhang et al. (2020)
Mixed refrigerant,,capex,,Liquefaction,Nigeria,2000,1283,,USD,,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang et al. (2020)
Mixed refrigerant,,capex,,Liquefaction,Omen,2000,739,,USD,,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang et al. (2020)
Mixed refrigerant,,capex,,Liquefaction,Russia,2018,1311,,USD,,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang et al. (2020)
Mixed refrigerant,,capex,,Liquefaction,US,2019,799,,USD,,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang et al. (2020)
Cascade,,fopex_abs,O&M,Liquefaction,,2016,0.74,,USD,,GJ,PCI Propane Precooled Mixed Refrigerant (AP-C3MR,Zhang et al. (2020)
,,capex,,Liquefaction,,2030,196,,kEUR,,mcmSNG/a,,Fasihi et al. (2015)
,,fopex_rel,,Liquefaction,,2030,3.5,,percent,,,,Fasihi et al. (2015)
,,lifetime,,Liquefaction,,2030,25,,a,,,,Fasihi et al. (2015)
,,energy_eff,,Liquefaction,,2030,93,,percent,,,,Fasihi et al. (2015)
,,capex,,Regasification,,2030,74,,kEUR,,mcmSNG/a,,Fasihi et al. (2015)
,,fopex_rel,,Regasification,,2030,3.5,,percent,,,,Fasihi et al. (2015)
,,lifetime,,Regasification,,2030,30,,a,,,,Fasihi et al. (2015)
,,energy_eff,,Regasification,,2030,98.5,,percent,,,,Fasihi et al. (2015)
4000km,Shipping,total_cost,,Transport,,2020,2.57143459168527,,EUR,,,,Lux et al. (2021)
2000km,Shipping,total_cost,,Transport,,2020,1.97598700213328,,EUR,,,,Lux et al. (2021)
2000km,Pipeline,total_cost,,Transport,,2020,0.17,,EURct,,,including on site compression of up to 80bar,Lux et al. (2021)
1000km,Pipeline,total_cost,,Transport,,2020,0.17,,EURct,,,including on site compression of up to 80bar,Lux et al. (2021)
