from,to,ft,factor
EUR_2013,MEUR_2020,,0.000001132
EUR_2013,EUR,,0.904706332
EUR_2013,EUR_2020,,1.131938264
EUR_2013,USD_2021,,1.529323778
EUR_2013,EUR_2019,,1.111805575
EUR_2013,MUSD_2022,,0.000001636
EUR_2013,EUR_2015,,1.037664297
EUR_2013,MEUR_2015,,0.000001038
EUR_2013,USD,,1.125536616
EUR_2013,kEUR,,0.000904706
EUR_2013,MUSD,,0.000001126
EUR_2013,EUR_2022,,1.230507660
EUR_2013,USD_2018,,1.419255934
EUR_2013,EUR_2014,,1.018779399
EUR_2013,EUR_2016,,1.051441907
EUR_2013,MEUR_2014,,0.000001019
EUR_2013,EUR_2005,,0.904706332
EUR_2013,USD_2005,,1.125536616
t/a,Mt/a,,0.000001000
t/a,kg/d,,2.739726027
t/a,metric_ton/a,,1.000000000
t/a,kilometric_ton/a,,0.001000000
t/a,kg/a,,1000.000000000
t/a,kg/day,,2.739726027
t/a,lb/hour,,0.251669249
MEUR_2020,EUR_2013,,883440.406206656
MEUR_2020,EUR,,799254.129631863
MEUR_2020,EUR_2020,,1000000.000000000
MEUR_2020,USD_2021,,1351066.419329505
MEUR_2020,EUR_2019,,982213.969046938
MEUR_2020,MUSD_2022,,1.445712345
MEUR_2020,EUR_2015,,916714.567617016
MEUR_2020,MEUR_2015,,0.916714568
MEUR_2020,USD,,994344.525543497
MEUR_2020,kEUR,,799.254129632
MEUR_2020,MUSD,,0.994344526
MEUR_2020,EUR_2022,,1087080.187422758
MEUR_2020,USD_2018,,1253828.038791808
MEUR_2020,EUR_2014,,900030.885678934
MEUR_2020,EUR_2016,,928886.265664320
MEUR_2020,MEUR_2014,,0.900030886
MEUR_2020,EUR_2005,,799254.129631863
MEUR_2020,USD_2005,,994344.525543497
m³,m**3,,1.000000000
m³,L,,1000.000000000
t,kg,,1000.000000000
t,metric_ton,,1.000000000
t,kilometric_ton,,0.001000000
t,lb,,2204.622621849
kg,t,,0.001000000
kg,metric_ton,,0.001000000
kg,kilometric_ton,,0.000001000
kg,lb,,2.204622622
MWh,GJ,,3.600000000
MWh,kWh,,1000.000000000
MWh,GJ,,3.600000000
MWh,MJ,,3600.000000000
MWh,pct kWh,,100000.000000000
MWh,pct kWh,,100000.000000000
MWh,pct MWh,,100.000000000
MWh,pct MWh,,100.000000000
MWh,GWh,,0.001000000
MWh,MJ,,3600.000000000
MWh,kWh,,1000.000000000
GJ,MWh,,0.277777778
GJ,kWh,,277.777777778
GJ,MJ,,1000.000000000
GJ,MWh,,0.277777778
GJ,pct kWh,,27777.777777778
GJ,pct kWh,,27777.777777778
GJ,pct MWh,,27.777777778
GJ,pct MWh,,27.777777778
GJ,GWh,,0.000277778
GJ,MJ,,1000.000000000
GJ,kWh,,277.777777778
kWh,MWh,,0.001000000
kWh,GJ,,0.003600000
kWh,GJ,,0.003600000
kWh,MJ,,3.600000000
kWh,MWh,,0.001000000
kWh,pct kWh,,100.000000000
kWh,pct kWh,,100.000000000
kWh,pct MWh,,0.100000000
kWh,pct MWh,,0.100000000
kWh,GWh,,0.000001000
kWh,MJ,,3.600000000
GJ,MWh,,0.277777778
GJ,kWh,,277.777777778
GJ,MJ,,1000.000000000
GJ,MWh,,0.277777778
GJ,pct kWh,,27777.777777778
GJ,pct kWh,,27777.777777778
GJ,pct MWh,,27.777777778
GJ,pct MWh,,27.777777778
GJ,GWh,,0.000277778
GJ,MJ,,1000.000000000
GJ,kWh,,277.777777778
Mt/a,t/a,,1000000.000000000
Mt/a,kg/d,,2739726.027397260
Mt/a,metric_ton/a,,1000000.000000000
Mt/a,kilometric_ton/a,,1000.000000000
Mt/a,kg/a,,1000000000.000000000
Mt/a,kg/day,,2739726.027397260
Mt/a,lb/hour,,251669.249069495
EUR,EUR_2013,,1.105331050
EUR,MEUR_2020,,0.000001251
EUR,EUR_2020,,1.251166510
EUR,USD_2021,,1.690409057
EUR,EUR_2019,,1.228913224
EUR,MUSD_2022,,0.000001809
EUR,EUR_2015,,1.146962566
EUR,MEUR_2015,,0.000001147
EUR,USD,,1.244090570
EUR,kEUR,,0.001000000
EUR,MUSD,,0.000001244
