subtech,variable,component,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
BF-BOF-POST (w/ 60% CC),CAPEX,#,Output Capacity|Steel Liquid,2013,1330.0,,USD_2010,1.086,t/a,"Excluding recurring CAPEX. Yearly production of 4Mt. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2",IEA-GHG13,"Vol. 2, Table D-4"
TGR-BOF-POST (w/ 41% CC),CAPEX,#,Output Capacity|Steel Liquid,2013,1219.0,,USD_2010,1.086,t/a,"Excluding recurring CAPEX. Yearly production of 4Mt. Case 3, uses a MDEA solvent. Includes casting and rolling. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2",IEA-GHG13,"Vol. 3, Table D-4"
BF-BOF-POST (w/ 60% CC),OPEX Fixed,#,Output Capacity|Steel Liquid,2013,116.19,,USD_2010/a,1.086,t/a,"Fixed O&M cost, divided by the production of 4Mt/yr. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2",IEA-GHG13,"Vol. 2, Table D-5"
TGR-BOF-POST (w/ 41% CC),OPEX Fixed,#,Output Capacity|Steel Liquid,2013,111.32,,USD_2010/a,1.086,t/a,"Fixed O&M cost (constitutes the majority of O&M expenses). Data was given in MUSD/yr, converted using a yearly production of 4Mt. Case 3, uses a MDEA solvent. Includes casting and rolling. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2",IEA-GHG13,"Vol. 3, Table D-15"
TGR-BOF-POST (w/ 41% CC),Input|Coal,Coking coal,Output|Steel Liquid,2013,12.42,,GJ,1.086,t,"Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table C-13"
TGR-BOF-POST (w/ 41% CC),Input|Coal,PCI Coal,Output|Steel Liquid,2013,5.03,,GJ,1.086,t,"Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Case 3, uses a MDEA solvent.",IEA-GHG13,"Vol. 3, Table C-13"
BF-BOF-POST (w/ 60% CC),Input|Coal,Coking coal,Output|Steel Liquid,2013,16.29,,GJ,1.086,t,"Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Volume 2 table C-6 for EOP-L2 case (60% capture, uses a MEA solvent)",IEA-GHG13,"Vol. 2, Table C-6"
BF-BOF-POST (w/ 60% CC),Input|Coal,PCI Coal,Output|Steel Liquid,2013,5.03,,GJ,1.086,t,"Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. Volume 2 table C-6 for EOP-L2 case (60% capture, uses a MEA solvent)",IEA-GHG13,"Vol. 2, Table C-6"
BF-BOF-POST (w/ 60% CC),Input|Electricity,#,Output|Steel Liquid,2013,0.6217,,MWh,1.086,t,"Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. In the report, natural gas is used. Case 2B: 60% CO2 capture, uses a MEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 2, Table C-3"
TGR-BOF-POST (w/ 41% CC),Input|Electricity,#,Output|Steel Liquid,2013,573.4,,kWh,1.086,t,"Given per ton of hot rolled coil. Translated to ton of liquid steel using 1.086, conversion factor found in Vol3 Table C-2. In the report, natural gas is used. Case 3, uses a MDEA solvent. Includes casting and rolling",IEA-GHG13,"Vol. 3, Table C-8"
