subtech,variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
CAT,Total Production Expenditure,Output|ch4,,1.4,,USD,1,GJ;LHV,Fixed bed,Kiani21,
,CAPEX,Output Capacity|ch4,2014,400,,EUR,1,MWh/a;LHV,"for a 5MW plant, 20 bar operating pressure",Graf14,
,CAPEX,Output Capacity|ch4,2014,130,,EUR,1,MWh/a;LHV,"for a 110MW plant, 20 bar operating pressure",Graf14,
,CAPEX,Output Capacity|ch4,2020,800,,EUR,1,MWh/a;LHV,,Milanzi18,
,CAPEX,Output Capacity|ch4,2030,400,,EUR,1,MWh/a;LHV,,Milanzi18,
,CAPEX,Output Capacity|ch4,2050,300,,EUR,1,MWh/a;LHV,,Milanzi18,
,Output|ch4,Input|elec,,80,,pct MWh;LHV,100,pct MWh,,Ueckerdt21,
,OCF,,,80,,percent,,,,Ueckerdt21,
,Lifetime,,,20,,a,,,,Ueckerdt21,
CAT,CAPEX,Output Capacity|ch4,2017,800,,EUR,1,MWh/a;LHV,,Thema19,
CAT,CAPEX,Output Capacity|ch4,2050,130,,EUR,1,MWh/a;LHV,,Thema19,
CAT,CAPEX,Output Capacity|ch4,2050,400,,EUR,1,MWh/a;LHV,,Thema19,
BIO,CAPEX,Output Capacity|ch4,2017,1200,,EUR,1,MWh/a;LHV,,Thema19,
BIO,CAPEX,Output Capacity|ch4,2050,300,,EUR,1,MWh/a;LHV,,Thema19,
,CAPEX,Output Capacity|ch4,2020,845,,USD,1,MWh/a;LHV,"See ""Assumptions"" of the report.",IEA-FOH19,
,CAPEX,Output Capacity|ch4,2030,735,,USD,1,MWh/a;LHV,"See ""Assumptions"" of the report.",IEA-FOH19,
,Output|ch4,Input|elec,2020,77,,pct MWh;LHV,100,pct MWh,"See ""Assumptions"" of the report.",IEA-FOH19,
,OPEX Fixed Relative,,2020,4,,percent,,,"See ""Assumptions"" of the report.",IEA-FOH19,
,Lifetime,,2020,30,,year,,,"See ""Assumptions"" of the report.",IEA-FOH19,
,Input|elec,Output|ch4,2020,0.013,,GJ,1,GJ;LHV,"See ""Assumptions"" of the report. Here, we have GJ(el)/GJ(prod)",IEA-FOH19,
,CAPEX,Output Capacity|ch4,2030,215,,EUR,1,,per kWH2,Fasihi15,
,OPEX Fixed Relative,,2030,3,,percent,1,,,Fasihi15,
,Lifetime,,2030,30,,year,1,,,Fasihi15,
,Output|ch4,Input|h2,2030,77.9,,pct MWh;LHV,100,pct MWh;LHV,H2 to SNG efficiency,Fasihi15,
,Input|co2,Output|ch4,,0.2,,t,1,MWh;LHV,,???,
,Input|h2,Output|ch4,,0.037,,t,1,MWh;LHV,,???,
