subtech,refrigeration,distance,component,region,reported_variable,reference_variable,period,,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
Shipping,,,Liquefaction,,CAPEX,Output Capacity|ch4,2030,,7265,,EUR,1,kg,plant capacity of 100MW (LHV) of methane output,Lux21,
Shipping,,,Liquefaction,,FOPEX,Output Capacity|ch4,2030,,437,,EUR/a,1,kg/a,plant capacity of 100MW (LHV) of methane output,Lux21,
Shipping,Cascade,,Liquefaction,Trinidad,CAPEX,Output Capacity|ch4,2002,,354,,USD,1,t/a,process name: ConocoPhillips Optimized Cascade,Zhang2020,
Shipping,Cascade,,Liquefaction,Australia,CAPEX,Output Capacity|ch4,2015,,1460,,USD,1,t/a,process name: ConocoPhillips Optimized Cascade,Zhang2020,
Shipping,Cascade,,Liquefaction,US,CAPEX,Output Capacity|ch4,2019,,1044,,USD,1,t/a,process name: ConocoPhillips Optimized Cascade,Zhang2020,
Shipping,Mixed Refrigerant,,Liquefaction,Nigeria,CAPEX,Output Capacity|ch4,2000,,1283,,USD,1,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang2020,
Shipping,Mixed Refrigerant,,Liquefaction,Omen,CAPEX,Output Capacity|ch4,2000,,739,,USD,1,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang2020,
Shipping,Mixed Refrigerant,,Liquefaction,Russia,CAPEX,Output Capacity|ch4,2018,,1311,,USD,1,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang2020,
Shipping,Mixed Refrigerant,,Liquefaction,US,CAPEX,Output Capacity|ch4,2019,,799,,USD,1,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang2020,
Shipping,Cascade,,Liquefaction,,FOPEX,Output Capacity|ch4,2016,,0.74,,USD/a,1,GJ/a,PCI Propane Precooled Mixed Refrigerant (AP-C3MR,Zhang2020,
Shipping,,,Liquefaction,,CAPEX,Output Capacity|ch4,2030,,196,,kEUR,1,mcmSNG/a,,Fasihi15,
Shipping,,,Liquefaction,,FOPEX Relative,,2030,,3.5,,percent,,,,Fasihi15,
Shipping,,,Liquefaction,,Lifetime,,2030,,25,,a,,,,Fasihi15,
Shipping,,,Liquefaction,,Output|ch4,Input|???,2030,,93,,pct MWh;LHV,100,pct MWh,,Fasihi15,
Shipping,,,Regasification,,CAPEX,Output Capacity|ch4,2030,,74,,kEUR,1,mcmSNG/a,,Fasihi15,
Shipping,,,Regasification,,FOPEX Relative,,2030,,3.5,,percent,,,,Fasihi15,
Shipping,,,Regasification,,Lifetime,,2030,,30,,a,,,,Fasihi15,
Shipping,,,Regasification,,Output|ch4,Input|???,2030,,98.5,,pct MWh;LHV,100,pct MWh,,Fasihi15,
Shipping,,4000km,Transportation,,Total Cost,Output|ch4,2020,,2.571,,EUR,1,MWh;LHV,,Lux21,
Shipping,,2000km,Transportation,,Total Cost,Output|ch4,2020,,1.976,,EUR,1,MWh;LHV,,Lux21,
Pipeline,,2000km,Transportation,,Total Cost,Output|ch4,2020,,0.17,,EURct,1,MWh;LHV,including on site compression of up to 80bar,Lux21,
Pipeline,,1000km,Transportation,,Total Cost,Output|ch4,2020,,0.17,,EURct,1,MWh;LHV,including on site compression of up to 80bar,Lux21,
