subtech,capture_rate,variable,component,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
Standard,0%,CAPEX,#,Output Capacity|Clinker,2019,203.7,,MEUR_2014,2817,metric_ton/day,"Capacity taken from table 1, total CAPEX from Table 7",DeLena19,Table 1 and 7
Tail-end CaL 20% IL,86.3%,CAPEX,#,Output Capacity|Clinker,2019,434.7,,MEUR_2014,2817,metric_ton/day,"Capacity taken from table 1, total CAPEX from Table 7",DeLena19,Table 1 and 7
Tail-end CaL 50% IL,90.9%,CAPEX,#,Output Capacity|Clinker,2019,406.0,,MEUR_2014,2817,metric_ton/day,"Capacity taken from table 1, total CAPEX from Table 7",DeLena19,Table 1 and 7
Integrated CaL,93.4%,CAPEX,#,Output Capacity|Clinker,2019,423.6,,MEUR_2014,2817,metric_ton/day,"Capacity taken from table 1, total CAPEX from Table 7",DeLena19,Table 1 and 7
Standard,0%,OPEX Variable,O&M labour and insurances,Output|Clinker,2019,18.67,,EUR_2014,1,metric_ton,"Is actually fixed OPEX, variable def should be changed",DeLena19,Table 8
Tail-end CaL 20% IL,86.3%,OPEX Variable,O&M labour and insurances,Output|Clinker,2019,32.01,,EUR_2014,1,metric_ton,"Is actually fixed OPEX, variable def should be changed",DeLena19,Table 8
Tail-end CaL 50% IL,90.9%,OPEX Variable,O&M labour and insurances,Output|Clinker,2019,30.64,,EUR_2014,1,metric_ton,"Is actually fixed OPEX, variable def should be changed",DeLena19,Table 8
Integrated CaL,93.4%,OPEX Variable,O&M labour and insurances,Output|Clinker,2019,31.63,,EUR_2014,1,metric_ton,"Is actually fixed OPEX, variable def should be changed",DeLena19,Table 8
Standard,0%,OPEX Variable,Raw meal,Output|Clinker,2019,5,,EUR_2014,1,metric_ton,"The cost of raw meal assumed is also given, in Table 5. The raw meal demand could be calculated from this",DeLena19,Table 8
Tail-end CaL 20% IL,86.3%,OPEX Variable,Raw meal,Output|Clinker,2019,4.88,,EUR_2014,1,metric_ton,"The cost of raw meal assumed is also given, in Table 5. The raw meal demand could be calculated from this",DeLena19,Table 8
Tail-end CaL 50% IL,90.9%,OPEX Variable,Raw meal,Output|Clinker,2019,4.92,,EUR_2014,1,metric_ton,"The cost of raw meal assumed is also given, in Table 5. The raw meal demand could be calculated from this",DeLena19,Table 8
Integrated CaL,93.4%,OPEX Variable,Raw meal,Output|Clinker,2019,5,,EUR_2014,1,metric_ton,"The cost of raw meal assumed is also given, in Table 5. The raw meal demand could be calculated from this",DeLena19,Table 8
