subtech,reported_variable,reference_variable,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,comment2,source,source_detail
HT-DAC,CAPEX,Output Capacity|co2,2018,,1126.8,,MUSD,0.98,Mt/a,Value reported for a capacity of 0.98 Mt-CO2/year.,Corresponding to the Carbon Engineering pilot plant.,Keith18,
LT-DAC,CAPEX,Output Capacity|co2,2015,,730,,EUR,1,t/a,,Based on a Antecy pilot plant and future plant projections.,Fasihi19,
*,FOPEX Relative,,2018,,4,,percent,,,,Corresponding to the Carbon Engineering pilot plant.,Keith18,
HT-DAC,Input|elec,Output|co2,2018,,366,,kWh,1,t,,Corresponding to the Carbon Engineering pilot plant.,Keith18,
HT-DAC,Input|heat,Output|co2,2018,,5.25,,GJ,1,t,Assuming high temperature (900 °C).,Corresponding to the Carbon Engineering pilot plant.,Keith18,
LT-DAC,Input|elec,Output|co2,2015,,694,,kWh,1,t,Including compression.,Based on a Antecy pilot plant and future plant projections.,Fasihi19,
LT-DAC,Input|heat,Output|co2,2015,,2084,,kWh,1,t,Assuming low temperature (80–100 °C).,Based on a Antecy pilot plant and future plant projections.,Fasihi19,
LT-DAC,FOPEX Relative,,2020,,4,,percent,,,,Based on a Antecy pilot plant and future plant projections.,Fasihi19,
HT-DAC,CAPEX,Output Capacity|co2,2020,,815,,EUR,1,t/a,,,Fasihi19,
HT-DAC,FOPEX Relative,,2020,,3.7,,percent,,,,,Fasihi19,
HT-DAC,Lifetime,,2020,,25,,year,,,,,Fasihi19,
LT-DAC,Lifetime,,2020,,20,,year,,,,,Fasihi19,
*,FLH,,2020,,8000,,hour,,,,perhaps an overoptimistic assumption,Fasihi19,
*,Input|elec,Output|co2,2021,CO2 compression,111,,kWh,1,t,,,Madhu21,
HT-DAC,Input|elec,Output|co2,2021,Non-compression,345,56,kWh,1,t,,,Madhu21,
HT-DAC,Input|heat,Output|co2,2021,,6.6,1.5,GJ,1,t,Assuming high temperature (850–900 °C).,,Madhu21,
LT-DAC,Input|elec,Output|co2,2021,Non-compression,180,110,kWh,1,t,,,Madhu21,
LT-DAC,Input|heat,Output|co2,2021,,6.25,1.25,GJ,1,t,Assuming low temperature (80–120 °C).,,Madhu21,
*,Input|elec,Output|co2,2022,CO2 compression,0.5,,GJ,1,t,,,IEA-DAC22,
HT-DAC,Input|elec,Output|co2,2022,Non-compression,0.8,,GJ,1,t,,,IEA-DAC22,
HT-DAC,Input|heat,Output|co2,2022,,5.3,,GJ,1,t,Assuming a series of units operating at high temperature (between 300°C and 900°C).,,IEA-DAC22,
LT-DAC,Input|elec,Output|co2,2022,Non-compression,2.3,,GJ,1,t,,,IEA-DAC22,
LT-DAC,Input|heat,Output|co2,2022,,7.2,,GJ,1,t,Assuming medium temperature (80-120°C).,,IEA-DAC22,
HT-DAC,Input|water,Output|co2,2022,,25,25,t,1,t,,,IEA-DAC22,
HT-DAC,CAPEX,Output Capacity|co2,,,80,,USD,1,t/a,optimistic assumption,,Okzan22,
HT-DAC,CAPEX,Output Capacity|co2,,,150,,USD,1,t/a,conservative assumption,,Okzan22,
LT-DAC,CAPEX,Output Capacity|co2,,,200,,USD,1,t/a,optimistic assumption,,Okzan22,
LT-DAC,CAPEX,Output Capacity|co2,,,1000,,USD,1,t/a,conservative assumption,,Okzan22,
HT-DAC,FOPEX Specific,Output|co2,,,40,,USD,1,t,optimistic assumption,,Okzan22,
HT-DAC,FOPEX Specific,Output|co2,,,80,,USD,1,t,conservative assumption,,Okzan22,
LT-DAC,FOPEX Specific,Output|co2,,,5,,USD,1,t,optimistic assumption,,Okzan22,
LT-DAC,FOPEX Specific,Output|co2,,,50,,USD,1,t,conservative assumption,,Okzan22,
LT-DAC,CAPEX,Output Capacity|co2,2050,,199,,EUR,1,t/a,conservative assumption,,Fasihi19,
LT-DAC,CAPEX,Output Capacity|co2,2050,,84,,EUR,1,t/a,optimistic assumption,,Fasihi19,
