subtech,variable,reference_variable,period,component,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
HT-DAC,CAPEX,Output Capacity|Captured CO2,2018,#,1126.8,,MUSD_2016,0.98,Mt/a,"Early plant. Value reported for a capacity of 0.98 Mt-CO2/year. Corresponding to the Carbon Engineering pilot plant.",Keith18,Table 3
HT-DAC,CAPEX,Output Capacity|Captured CO2,2018,#,779.5,,MUSD_2016,0.98,Mt/a,"Nth plant. Value reported for a capacity of 0.98 Mt-CO2/year.",Keith18,Table 3
HT-DAC,OPEX Variable,Output|Captured CO2,2018,#,26,,USD_2016,1,t,"Corresponding to the Carbon Engineering pilot plant (scenario C).",Keith18,Table 2
HT-DAC,Input|Electricity,Output|Captured CO2,2018,#,366.0,,kWh,1.0,t,"Corresponding to the Carbon Engineering pilot plant (scenario C).",Keith18,Table 2
HT-DAC,OCF,,2018,#,90,,percent,,,"Corresponding to the Carbon Engineering pilot plant (scenario C).",Keith18,Table 2
HT-DAC,Input|Heat,Output|Captured CO2,2018,#,5.25,,GJ,1.0,t,"Is assumed to be NG consumption in the paper, as high temperatures are needed (900 °C). Corresponding to the Carbon Engineering pilot plant (scenario C).",Keith18,Table 2
HT-DAC,CAPEX,Output Capacity|Captured CO2,2020,#,815.0,,EUR_2020,1.0,t/a,"No explicit cost basis given, assumed to be EUR2020 as this is the time of cost. Author's own assumption.",Fasihi19,Table 4
LT-DAC,CAPEX,Output Capacity|Captured CO2,2020,#,730.0,,EUR_2020,1.0,t/a,"No explicit cost basis given, assumed to be EUR2020 as this is the time of cost. Author's own assumption.",Fasihi19,Table 4
HT-DAC,OPEX Fixed Relative,,2020,#,3.7,,percent,,,"Author's own assumption.",Fasihi19,Table 4
LT-DAC,OPEX Fixed Relative,,2020,#,4.0,,percent,,,"Author's own assumption.",Fasihi19,Table 4
HT-DAC,Input|Electricity,Output|Captured CO2,2020,#,1535.0,,kWh,1.0,t,"Author's own assumption.",Fasihi19,Table 4
HT-DAC,Input|Heat,Output|Captured CO2,2020,#,0.0,,kWh,1.0,t,"Author's own assumption.",Fasihi19,Table 4
LT-DAC,Input|Electricity,Output|Captured CO2,2020,#,250.0,,kWh,1.0,t,"Author's own assumption.",Fasihi19,Table 4
LT-DAC,Input|Heat,Output|Captured CO2,2020,#,1750.0,,kWh,1.0,t,"Assuming low temperature (80–100 °C). Author's own assumption.",Fasihi19,Table 4
HT-DAC,Lifetime,,2020,#,25.0,,year,,,,Fasihi19,Table 4
LT-DAC,Lifetime,,2020,#,20.0,,year,,,,Fasihi19,Table 4
*,Input|Electricity,Output|Captured CO2,2021,CO2 injection,7.0,,kWh,1.0,t,,Madhu21,Table 1 and 2
*,Input|Electricity,Output|Captured CO2,2021,CO2 compression,111.0,,kWh,1.0,t,,Madhu21,Table 1 and 2
HT-DAC,Input|Electricity,Output|Captured CO2,2021,CO2 capture,345.0,,kWh,1.0,t,"Reference case",Madhu21,Table 1
HT-DAC,Input|Electricity,Output|Captured CO2,2021,CO2 capture,337.0,,kWh,1.0,t,"Best case",Madhu21,Table 1
HT-DAC,Input|Electricity,Output|Captured CO2,2021,CO2 capture,449.0,,kWh,1.0,t,"Worst case",Madhu21,Table 1
HT-DAC,Input|Heat,Output|Captured CO2,2021,#,4.47,,GJ,1.0,t,"Reference case. Assuming high temperature (850–900 °C).",Madhu21,Table 1
HT-DAC,Input|Heat,Output|Captured CO2,2021,#,4.05,,GJ,1.0,t,"Best case. Assuming high temperature (850–900 °C).",Madhu21,Table 1
HT-DAC,Input|Heat,Output|Captured CO2,2021,#,4.47,,GJ,1.0,t,"Worst case. Assuming high temperature (850–900 °C).",Madhu21,Table 1
LT-DAC,Input|Electricity,Output|Captured CO2,2021,CO2 capture,180.0,,kWh,1.0,t,"Reference case.",Madhu21,Table 2
LT-DAC,Input|Electricity,Output|Captured CO2,2021,CO2 capture,130.0,,kWh,1.0,t,"Best case.",Madhu21,Table 2
LT-DAC,Input|Electricity,Output|Captured CO2,2021,CO2 capture,350.0,,kWh,1.0,t,"Worst case.",Madhu21,Table 2
LT-DAC,Input|Heat,Output|Captured CO2,2021,#,2.6,,GJ,1.0,t,"Reference case. Assuming low temperature (80–120 °C).",Madhu21,Table 2
LT-DAC,Input|Heat,Output|Captured CO2,2021,#,2.3,,GJ,1.0,t,"Best case. Assuming low temperature (80–120 °C).",Madhu21,Table 2
LT-DAC,Input|Heat,Output|Captured CO2,2021,#,6.2,,GJ,1.0,t,"Worst case. Assuming low temperature (80–120 °C).",Madhu21,Table 2
*,Input|Electricity,Output|Captured CO2,2022,CO2 compression,0.5,,GJ,1.0,t,,IEA-DAC22,Interactive chart
