subtech,size,reported_variable,reference_variable,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
AEL,100 MW,CAPEX,Input Capacity|elec,2020,400,0,EUR_2020,1,kW,,Vartiainen22,"Page 4, Figure 4"
AEL,100 MW,CAPEX,Input Capacity|elec,2030,240,50,EUR_2020,1,kW,,Vartiainen22,"Page 4, Figure 4"
AEL,100 MW,CAPEX,Input Capacity|elec,2040,140,75,EUR_2020,1,kW,,Vartiainen22,"Page 4, Figure 4"
AEL,100 MW,CAPEX,Input Capacity|elec,2050,80,75,EUR_2020,1,kW,,Vartiainen22,"Page 4, Figure 4"
AEL,100 MW,CAPEX,Input Capacity|elec,2020,663,,EUR_2020,1,kW,,Holst21,Appendix A
AEL,100 MW,CAPEX,Input Capacity|elec,2030,444,,EUR_2020,1,kW,,Holst21,Appendix A
PEM,100 MW,CAPEX,Input Capacity|elec,2020,718,,EUR_2020,1,kW,,Holst21,Appendix A
PEM,100 MW,CAPEX,Input Capacity|elec,2030,502,,EUR_2020,1,kW,,Holst21,Appendix A
AEL,5 MW,CAPEX,Input Capacity|elec,2020,949,,EUR_2020,1,kW,,Holst21,Appendix A
AEL,5 MW,CAPEX,Input Capacity|elec,2030,726,,EUR_2020,1,kW,,Holst21,Appendix A
PEM,5 MW,CAPEX,Input Capacity|elec,2020,978,,EUR_2020,1,kW,,Holst21,Appendix A
PEM,5 MW,CAPEX,Input Capacity|elec,2030,718,,EUR_2020,1,kW,,Holst21,Appendix A
AEL,*,CAPEX,Input Capacity|elec,2030,536,152,USD_2021,1,kW,,IRENA22,Page 23
AEL,*,CAPEX,Input Capacity|elec,2050,230,96,USD_2021,1,kW,,IRENA22,Page 23
AEL,130000 Nm³/h,CAPEX,Input Capacity|elec,2020,1150,350,EUR_2019,1,kW,,Tenhumberg20,"Table 2, Page 1588 (3/10)"
PEM,130000 Nm³/h,CAPEX,Input Capacity|elec,2020,1750,350,EUR_2019,1,kW,,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,130000 Nm³/h,CAPEX,Input Capacity|elec,2020,2000,,EUR_2019,1,kW,Provided as a lower threshold,Tenhumberg20,"Table 2, Page 1588 (3/10)"
AEL,130000 Nm³/h,CAPEX,Input Capacity|elec,2030,450,,EUR_2019,1,kW,,Tenhumberg20,"Supplement, Table S2, Page 3"
PEM,130000 Nm³/h,CAPEX,Input Capacity|elec,2030,810,,EUR_2019,1,kW,,Tenhumberg20,"Supplement, Table S2, Page 3"
SOEC,130000 Nm³/h,CAPEX,Input Capacity|elec,2030,800,,EUR_2019,1,kW,,Tenhumberg20,"Supplement, Table S2, Page 3"
AEL,1 MW,CAPEX,Output Capacity|h2,2020,1566,918,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 AEC 1MW, Row 24"
AEL,1 MW,CAPEX,Output Capacity|h2,2030,1164,,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 AEC 1MW, Row 24"
AEL,1 MW,CAPEX,Output Capacity|h2,2040,874,,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 AEC 1MW, Row 24"
AEL,1 MW,CAPEX,Output Capacity|h2,2050,648,438,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 AEC 1MW, Row 24"
AEL,100 MW,CAPEX,Output Capacity|h2,2020,1358,374,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 AEC 100MW, Row 24"
AEL,100 MW,CAPEX,Output Capacity|h2,2030,919,,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 AEC 100MW, Row 24"
AEL,100 MW,CAPEX,Output Capacity|h2,2040,583,,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 AEC 100MW, Row 24"
AEL,100 MW,CAPEX,Output Capacity|h2,2050,463,201,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 AEC 100MW, Row 24"
PEM,1 MW,CAPEX,Output Capacity|h2,2020,2215,497,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 PEMEC 1MW, Row 24"
PEM,1 MW,CAPEX,Output Capacity|h2,2030,1378,,EUR_2020,1,kg/d,,DEARF23,"Sheet 86 PEMEC 1MW, Row 24"
