variable,reference_variable,period,component,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output Capacity|nh3,2022,#,643,,EUR,1,kW;LHV,"As stated in Section 2.4.1, the ammonia output of the plant is measured in units of its lower heating value.",ArnaizdelPozo22,"Supplementary Information, Table 2"
CAPEX,Output Capacity|nh3,2018,#,870,,EUR,1,kW;LHV,,Ikaheimo18,"Page 7, Table 3"
OPEX Fixed Relative,,2022,#,3,,percent,,,,ArnaizdelPozo22,"Supplementary Information, Table 2"
OPEX Fixed,Output Capacity|nh3,2018,#,17,,EUR/a,1,kW;LHV,,Ikaheimo18,"Page 7, Table 3"
OPEX Variable,Output|nh3,2022,#,0.6,,EUR,1,kWh;LHV,"As stated in Section 2.4.1, the ammonia output of the plant is measured in units of its lower heating value.",ArnaizdelPozo22,"Supplementary Information, Table 2"
Input|h2,Output|nh3,2015,#,0.178,,t,1,t,,Matzen15,Page 9 / Table 13
Input|elec,Output|nh3,2015,Air-separation unit,3.1,,MJ,1.19,kg,"This source claims 3.1 MJ/kg electricity denand for the ASU. Assuming a nitrogen demand of 0.84 tonnes per tonne of ammonia, this amounts of an electricity demand of 3.1×0.85 GJ per tonne of ammonia.",Matzen15,Page 8 / Table 9
Input|elec,Output|nh3,2016,Air-separation unit,61,,kWh,1.19,t,,GrinbergDana16,
Input|elec,Output|nh3,2016,Synthesis process,0.44,,MWh,1,t,,GrinbergDana16,
Input|elec,Output|nh3,2014,Air-separation unit,108,,kWh,1.19,t,,Morgan14,
Input|elec,Output|nh3,2014,Synthesis process,0.4,,MWh,1,t,,Morgan14,
Input|elec,Output|nh3,2018,#,0.64,,MWh,1,t,,Ikaheimo18,Page 4
Input|elec,Output|nh3,2017,Compressors,5.2,1.3,GJ,1,t,,Bazzanella17,"Page 56, Section 4.2.2"
Input|elec,Output|nh3,2017,Air-separation unit,0.33,,MWh,1,t,,Bazzanella17,"Page 57, Section 4.2.3"
