variable,reference_variable,period,component,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output Capacity|Ammonia,2015,#,670,,EUR,1,t/a,,Bazzanella17,Table 35
OPEX Variable,Output|Ammonia,2015,#,100,,EUR,1,t,,Bazzanella17,Table 35
Input|Electricity,Output|Ammonia,2021,#,0.3,,GJ,1,t,,IEA-Ammonia21,Table 1.2
Input|Fossil Gas,Output|Ammonia,2021,Feedstock,21,,GJ;LHV,1,t,,IEA-Ammonia21,Table 1.2
Input|Fossil Gas,Output|Ammonia,2021,Fuel,11.1,,GJ;LHV,1,t,,IEA-Ammonia21,Table 1.2
Input|Fossil Gas,Output|Ammonia,2007,#,27.6,2.1,GJ;LHV,1,t,Lower bound,EuroComm07,Table 2.14
Input|Fossil Gas,Output|Ammonia,2007,#,31.8,2.1,GJ;LHV,1,t,Higher bound,EuroComm07,Table 2.14
CAPEX,Output Capacity|Ammonia,2020,,905,,USD_2017,1,t,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4 
CAPEX,Output Capacity|Ammonia,2030,,905,,USD_2017,1,t,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4 
CAPEX,Output Capacity|Ammonia,2050,,905,,USD_2017,1,t,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4 
OPEX Fixed Relative,Output Capacity|Ammonia,2020,,2.5,,percent,,,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
OPEX Fixed Relative,Output Capacity|Ammonia,2030,,2.5,,percent,,,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
OPEX Fixed Relative,Output Capacity|Ammonia,2050,,2.5,,percent,,,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
Input|Fossil Gas,Output|Ammonia,2020,,42,,GJ;LHV,1,t,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4 
Input|Fossil Gas,Output|Ammonia,2030,,38.3,,GJ;LHV,1,t,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
Input|Fossil Gas,Output|Ammonia,2050,,32.2,,GJ;LHV,1,t,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
Input|Fossil Gas,Output|Ammonia,2020,,0.3,,GJ,1,t,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
Emission factor ,Output|Ammonia,2020,,2.35,,kgCO2,1,kg,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
Emission factor ,Output|Ammonia,2030,,2.14,,kgCO2,1,kg,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
Emission factor ,Output|Ammonia,2050,,1.8,,kgCO2,1,kg,,"IEA, The Future of Hydrogen. Seizing today’s opportunities, Assumptions Annex, Paris, 2019.",PAGE | 4
