engine_type,fuel,variable,reference_variable,component,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
Two-stroke,Diesel,CAPEX,Output Capacity|Propulsion,#,2030,460,,EUR_2019,1.0,kW,"Bulk carrier/ container ship, propulsion capacity 15 and 55MW respectively.",Korberg21,"Table 3"
Two-stroke,Methanol,CAPEX,Output Capacity|Propulsion,#,2030,505,,EUR_2019,1.0,kW,"Bulk carrier/ container ship, propulsion capacity 15 and 55MW respectively.",Korberg21,"Table 3"
Two-stroke,DME,CAPEX,Output Capacity|Propulsion,#,2030,600,,EUR_2019,1.0,kW,"Bulk carrier/ container ship, propulsion capacity 15 and 55MW respectively.",Korberg21,"Table 3"
Two-stroke,Ammonia,CAPEX,Output Capacity|Propulsion,#,2030,600,,EUR_2019,1.0,kW,"Bulk carrier/ container ship, propulsion capacity 15 and 55MW respectively.",Korberg21,"Table 3"
Two-stroke,LNG,CAPEX,Output Capacity|Propulsion,#,2030,700,,EUR_2019,1.0,kW,"Bulk carrier/ container ship, propulsion capacity 15 and 55MW respectively.",Korberg21,"Table 3"
Two-stroke,LBG,CAPEX,Output Capacity|Propulsion,#,2030,700,,EUR_2019,1.0,kW,"Bulk carrier/ container ship, propulsion capacity 15 and 55MW respectively.",Korberg21,"Table 3"
Two-stroke,Hydrogen,CAPEX,Output Capacity|Propulsion,#,2030,700,,EUR_2019,1.0,kW,"Bulk carrier/ container ship, propulsion capacity 15 and 55MW respectively.",Korberg21,"Table 3"
Four-stroke,Diesel,CAPEX,Output Capacity|Propulsion,#,2030,240,,EUR_2019,1.0,kW,"General cargo ship, propulsion capacity 6MW.",Korberg21,"Table 3"
Four-stroke,Methanol,CAPEX,Output Capacity|Propulsion,#,2030,265,,EUR_2019,1.0,kW,"General cargo ship, propulsion capacity 6MW.",Korberg21,"Table 3"
Four-stroke,DME,CAPEX,Output Capacity|Propulsion,#,2030,370,,EUR_2019,1.0,kW,"General cargo ship, propulsion capacity 6MW.",Korberg21,"Table 3"
Four-stroke,Ammonia,CAPEX,Output Capacity|Propulsion,#,2030,370,,EUR_2019,1.0,kW,"General cargo ship, propulsion capacity 6MW.",Korberg21,"Table 3"
Four-stroke,LNG,CAPEX,Output Capacity|Propulsion,#,2030,470,,EUR_2019,1.0,kW,"General cargo ship, propulsion capacity 6MW.",Korberg21,"Table 3"
