fuel,variable,reference_variable,period,component,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
Kerosene,OPEX Variable,Output|Person-km,2021,Depreciation,1.514,,cUSD_2010,1.0,PAX*km,,Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Kerosene,OPEX Variable,Output|Person-km,2021,Interest,1.178,,cUSD_2010,1.0,PAX*km,,Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Kerosene,OPEX Variable,Output|Person-km,2021,Insurance,0.006,,cUSD_2010,1.0,PAX*km,,Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Kerosene,OPEX Variable,Output|Person-km,2021,Staff,0.184,,cUSD_2010,1.0,PAX*km,,Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Kerosene,OPEX Variable,Output|Person-km,2021,Fees,0.758,,cUSD_2010,1.0,PAX*km,"Navigation fees, landing fees, ground handling fees.",Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Hydrogen,OPEX Variable,Output|Person-km,2021,Depreciation,1.714,,cUSD_2010,1.0,PAX*km,"It is highly uncertain whether a long-range H2 aircraft is feasible, engineering wise.",Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Hydrogen,OPEX Variable,Output|Person-km,2021,Interest,1.333,,cUSD_2010,1.0,PAX*km,"It is highly uncertain whether a long-range H2 aircraft is feasible, engineering wise.",Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Hydrogen,OPEX Variable,Output|Person-km,2021,Insurance,0.007,,cUSD_2010,1.0,PAX*km,"It is highly uncertain whether a long-range H2 aircraft is feasible, engineering wise.",Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Hydrogen,OPEX Variable,Output|Person-km,2021,Staff,0.184,,cUSD_2010,1.0,PAX*km,"It is highly uncertain whether a long-range H2 aircraft is feasible, engineering wise.",Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Hydrogen,OPEX Variable,Output|Person-km,2021,Fees,0.705,,cUSD_2010,1.0,PAX*km,"Navigation fees, landing fees, ground handling fees. It is highly uncertain whether a long-range H2 aircraft is feasible, engineering wise.",Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Kerosene,Input|Kerosene,Output|Person-km,2021,#,0.89,,MJ,1.0,PAX*km,,Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
Hydrogen,Input|Liquid Hydrogen,Output|Person-km,2021,#,0.95,,MJ,1.0,PAX*km,"It is highly uncertain whether a long-range H2 aircraft is feasible, engineering wise.",Dahal21,"calculated from the assumptions found in the paper, and following the AEA's methodology"
