variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output Capacity|gasoline,,312.5,,EUR,1,kW;LHV,,Schemme20,Table 3
CAPEX,Output Capacity|gasoline,,600,,EUR,1,kW;LHV,,Grahn22,Table 3
CAPEX,Output Capacity|gasoline,2020,307,,EUR,1,kW;LHV,"This source should be double-checked. It claims these numbers are taken from an IEA report, but no such numbers exist.",Soler22,Table 94
CAPEX,Output Capacity|gasoline,2030,269,,EUR,1,kW;LHV,"This source should be double-checked. It claims these numbers are taken from an IEA report, but no such numbers exist.",Soler22,Table 94
CAPEX,Output Capacity|gasoline,2050,200,,EUR,1,kW;LHV,"This source should be double-checked. It claims these numbers are taken from an IEA report, but no such numbers exist.",Soler22,Table 94
OPEX Fixed Relative,,,4.5,,percent,,,"This source should be double-checked. It claims these numbers are taken from an IEA report, but no such numbers exist.",Soler22,Table 94
OPEX Variable,Output|gasoline,,1350,,EUR,1,GWh;LHV,"This source should be double-checked. It claims these numbers are taken from an IEA report, but no such numbers exist.",Soler22,Table 94
Input|elec,Output|gasoline,,0.2,,MWh,1,MWh;LHV,data given in the table as 0.71 MJ/kg. Converted manually by C.B to MWh/t. ,Soler22,Table 5
Input|elec,Output|gasoline,,0.229,,kWh,1,kg,,Takunju21,Table 4.13
Input|meoh,Output|gasoline,,2.29,,t,1,MWh;LHV,,Soler22,Table 5
Input|meoh,Output|gasoline,,2.564,,kg,1,kg,,Takunju21,Table 4.13
Input|h2,Output|gasoline,,0.001,,t,1,MWh;LHV,,Soler22,Table 5
Lifetime,,,30,,year,,,"This source should be double-checked. It claims these numbers are taken from an IEA report, but no such numbers exist.",Soler22,Table 94
