subtech,refrigeration,distance,component,region,variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
Shipping,,,Liquefaction,,CAPEX,Output Capacity|Methane,2030,7265.0,,EUR,1.0,kg,plant capacity of 100MW (LHV) of methane output,Lux21,
Shipping,,,Liquefaction,,OPEX Fixed,Output Capacity|Methane,2030,437.0,,EUR/a,1.0,kg/a,plant capacity of 100MW (LHV) of methane output,Lux21,
Shipping,Cascade,,Liquefaction,Trinidad,CAPEX,Output Capacity|Methane,2002,354.0,,USD,1.0,t/a,process name: ConocoPhillips Optimized Cascade,Zhang2020,
Shipping,Cascade,,Liquefaction,Australia,CAPEX,Output Capacity|Methane,2015,1460.0,,USD,1.0,t/a,process name: ConocoPhillips Optimized Cascade,Zhang2020,
Shipping,Cascade,,Liquefaction,US,CAPEX,Output Capacity|Methane,2019,1044.0,,USD,1.0,t/a,process name: ConocoPhillips Optimized Cascade,Zhang2020,
Shipping,Mixed Refrigerant,,Liquefaction,Nigeria,CAPEX,Output Capacity|Methane,2000,1283.0,,USD,1.0,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang2020,
Shipping,Mixed Refrigerant,,Liquefaction,Omen,CAPEX,Output Capacity|Methane,2000,739.0,,USD,1.0,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang2020,
Shipping,Mixed Refrigerant,,Liquefaction,Russia,CAPEX,Output Capacity|Methane,2018,1311.0,,USD,1.0,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang2020,
Shipping,Mixed Refrigerant,,Liquefaction,US,CAPEX,Output Capacity|Methane,2019,799.0,,USD,1.0,t/a,APCI Propane Precooled Mixed Refrigerant (AP-C3MR),Zhang2020,
Shipping,Cascade,,Liquefaction,,OPEX Fixed,Output Capacity|Methane,2016,0.74,,USD/a,1.0,GJ/a,PCI Propane Precooled Mixed Refrigerant (AP-C3MR,Zhang2020,
Shipping,,,Liquefaction,,CAPEX,Output Capacity|Methane,2030,196.0,,kEUR,1.0,mcmSNG/a,,Fasihi15,
Shipping,,,Liquefaction,,OPEX Fixed Relative,,2030,3.5,,percent,,,,Fasihi15,
Shipping,,,Liquefaction,,Lifetime,,2030,25.0,,a,,,,Fasihi15,
Shipping,,,Liquefaction,,Output|Methane,Input|???,2030,93.0,,pct MWh;LHV,100.0,pct MWh,,Fasihi15,
Shipping,,,Regasification,,CAPEX,Output Capacity|Methane,2030,74.0,,kEUR,1.0,mcmSNG/a,,Fasihi15,
Shipping,,,Regasification,,OPEX Fixed Relative,,2030,3.5,,percent,,,,Fasihi15,
Shipping,,,Regasification,,Lifetime,,2030,30.0,,a,,,,Fasihi15,
Shipping,,,Regasification,,Output|Methane,Input|???,2030,98.5,,pct MWh;LHV,100.0,pct MWh,,Fasihi15,
Shipping,,4000km,Transportation,,Total Production Expenditure,Output|Methane,2020,2.571,,EUR,1.0,MWh;LHV,,Lux21,
Shipping,,2000km,Transportation,,Total Production Expenditure,Output|Methane,2020,1.976,,EUR,1.0,MWh;LHV,,Lux21,
Pipeline,,2000km,Transportation,,Total Production Expenditure,Output|Methane,2020,0.17,,EURct,1.0,MWh;LHV,including on site compression of up to 80bar,Lux21,
Pipeline,,1000km,Transportation,,Total Production Expenditure,Output|Methane,2020,0.17,,EURct,1.0,MWh;LHV,including on site compression of up to 80bar,Lux21,
