variable,reference_variable,period,component,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output Capacity|Olefin,2020,#,1000.0,,USD_2016,1,t,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2018.",Table A3
CAPEX,Output Capacity|Olefin,2030,#,1000.0,,USD_2016,1,t,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2019.",Table A3
CAPEX,Output Capacity|Olefin,2040,#,1000.0,,USD_2016,1,t,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2020.",Table A3
CAPEX,Output Capacity|Olefin,2050,#,1000.0,,USD_2016,1,t,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2021.",Table A3
OPEX Fixed Relative,Output Capacity|Olefin,2020,#,2.5,,percent,1,,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2022.",Table A3
OPEX Fixed Relative,Output Capacity|Olefin,2030,#,2.5,,percent,1,,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2023.",Table A3
OPEX Fixed Relative,Output Capacity|Olefin,2040,#,2.5,,percent,1,,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2024.",Table A3
OPEX Fixed Relative,Output Capacity|Olefin,2050,#,2.5,,percent,1,,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2025.",Table A3
Input|Methanol,Output|Olefin,2020,#,11.40,,GJ,1,t,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2024.",Table A4
Input|Electricity,Output|Olefin,2020,#,0.200,,GJ,1,t,,"IEA, The Future of Petrochemicals: Towards more sustainable plastics and fertilisers, Paris, 2025.",Table A4
Lifetime,,2021,#,25,,year,,,,,
