subtech,variable,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,comment2,source,source_detail
HT-DAC,CAPEX,2018,,1126.8,,MUSD,0.98,Mt/a,Value reported for a capacity of 0.98 Mt-CO2/year.,Corresponding to the Carbon Engineering pilot plant.,"Keith et al., 2018",
LT-DAC,CAPEX,2015,,730,,EUR,1,t/a,,Based on a Antecy pilot plant and future plant projections.,"Fasihi et al., 2019",
,FOPEX Relative,2018,,4,,percent,1,t/a,,Corresponding to the Carbon Engineering pilot plant.,"Keith et al., 2018",
HT-DAC,Demand|elec,2018,,366,,kWh,1,t,,Corresponding to the Carbon Engineering pilot plant.,"Keith et al., 2018",
HT-DAC,Demand|heat,2018,,5.25,,GJ,1,t,Assuming high temperature (900 °C).,Corresponding to the Carbon Engineering pilot plant.,"Keith et al., 2018",
LT-DAC,Demand|elec,2015,,694,,kWh,1,t,Including compression.,Based on a Antecy pilot plant and future plant projections.,"Fasihi et al., 2019",
LT-DAC,Demand|heat,2015,,2084,,kWh,1,t,Assuming low temperature (80–100 °C).,Based on a Antecy pilot plant and future plant projections.,"Fasihi et al., 2019",
LT-DAC,FOPEX Relative,2020,,4,,percent,,,,Based on a Antecy pilot plant and future plant projections.,"Fasihi et al., 2019",
HT-DAC,CAPEX,2020,,815,,EUR,1,t/a,,,"Fasihi et al., 2019",
HT-DAC,FOPEX Relative,2020,,3.7,,percent,,,,,"Fasihi et al., 2019",
HT-DAC,Lifetime,2020,,25,,year,,,,,"Fasihi et al., 2019",
LT-DAC,Lifetime,2020,,20,,year,,,,,"Fasihi et al., 2019",
,FLH,2020,,8000,,hour,,,,perhaps an overoptimistic assumption,"Fasihi et al., 2019",
,Demand|elec,2021,CO2 compression,111,,kWh,1,t,,,Madhu et al. (2021),
HT-DAC,Demand|elec,2021,Non-compression,345,56,kWh,1,t,,,Madhu et al. (2021),
HT-DAC,Demand|heat,2021,,6.6,1.5,GJ,1,t,Assuming high temperature (850–900 °C).,,Madhu et al. (2021),
LT-DAC,Demand|elec,2021,Non-compression,180,110,kWh,1,t,,,Madhu et al. (2021),
LT-DAC,Demand|heat,2021,,6.25,1.25,GJ,1,t,Assuming low temperature (80–120 °C).,,Madhu et al. (2021),
,Demand|elec,2022,CO2 compression,0.5,,GJ,1,t,,,IEA Direct Air Capture (2022),
HT-DAC,Demand|elec,2022,Non-compression,0.8,,GJ,1,t,,,IEA Direct Air Capture (2022),
HT-DAC,Demand|heat,2022,,5.3,,GJ,1,t,Assuming a series of units operating at high temperature (between 300°C and 900°C).,,IEA Direct Air Capture (2022),
LT-DAC,Demand|elec,2022,Non-compression,2.3,,GJ,1,t,,,IEA Direct Air Capture (2022),
LT-DAC,Demand|heat,2022,,7.2,,GJ,1,t,Assuming medium temperature (80-120°C).,,IEA Direct Air Capture (2022),
HT-DAC,Demand|water,2022,,25,25,t,1,t,,,IEA Direct Air Capture (2022),
HT-DAC,CAPEX,,,80,,USD,1,t/a,optimistic assumption,,Ozkan et al. (2022),
HT-DAC,CAPEX,,,150,,USD,1,t/a,conservative assumption,,Ozkan et al. (2022),
LT-DAC,CAPEX,,,200,,USD,1,t/a,optimistic assumption,,Ozkan et al. (2022),
LT-DAC,CAPEX,,,1000,,USD,1,t/a,conservative assumption,,Ozkan et al. (2022),
HT-DAC,FOPEX Specific,,,40,,USD,1,t,optimistic assumption,,Ozkan et al. (2022),
HT-DAC,FOPEX Specific,,,80,,USD,1,t,conservative assumption,,Ozkan et al. (2022),
LT-DAC,FOPEX Specific,,,5,,USD,1,t,optimistic assumption,,Ozkan et al. (2022),
LT-DAC,FOPEX Specific,,,50,,USD,1,t,conservative assumption,,Ozkan et al. (2022),
LT-DAC,CAPEX,2050,,199,,EUR,1,t/a,conservative assumption,,"Fasihi et al., 2019",
LT-DAC,CAPEX,2050,,84,,EUR,1,t/a,optimistic assumption,,"Fasihi et al., 2019",
HT-DAC,CAPEX,2050,,222,,EUR,1,t/a,conservative assumption,,"Fasihi et al., 2019",
HT-DAC,CAPEX,2050,,93,,EUR,1,t/a,optimistic assumption,,"Fasihi et al., 2019",
,FOPEX Relative,2020,,4,,percent,,,,,"Lux et al., 2023",
LT-DAC,Lifetime,2050,,30,,year,,,,,"Lux et al., 2023",
LT-DAC,Lifetime,2050,,25,,year,,,,,"Lux et al., 2023",
LT-DAC,Demand|elec,2050,,1685,,kWh,1,t,,,"Lux et al., 2023",
LT-DAC,Demand|elec,2050,,1339,,kWh,1,t,,,"Lux et al., 2023",
HT-DAC,Demand|elec,,,0.49,,MWh,1,t,,,"Socolow et al., 2011",
HT-DAC,Demand|heat,,,8.1,,GJ,1,t,,,"Socolow et al., 2011",
HT-DAC,FLH,,,8000,,hour,,,,,"Socolow et al., 2011",
HT-DAC,CAPEX,,,2900,,EUR,1,t/a,"Used line ""Total Installed capital cost"" for the ""realistic"" column",,"Socolow et al., 2011",Table 2.5
HT-DAC,VOPEX,,,120,,EUR,1,t,"Used line ""Maintenance labor and chemicals"" cost for the ""realistic"" column",,"Socolow et al., 2011",Table 2.5
HT-DAC,CAPEX,,,2200,,EUR,1,t/a,"Used line ""Total Installed capital cost"" for the ""optimistic"" column",,"Socolow et al., 2011",Table 2.5
HT-DAC,VOPEX,,,120,,EUR,1,t,"Used line ""Maintenance labor and chemicals"" cost for the ""optimistic"" column",,"Socolow et al., 2011",Table 2.5
LT-DAC,Demand|elec,,,0.6,,GJ,1,t,,,Realmonte et al. (2019),
LT-DAC,Demand|heat,,,4.4,,GJ,1,t,,,Realmonte et al. (2019),
LT-DAC,Demand|elec,,,1.1,,GJ,1,t,,,Realmonte et al. (2019),
LT-DAC,Demand|heat,,,7.2,,GJ,1,t,,,Realmonte et al. (2019),
HT-DAC,CAPEX,,,1255,,USD,1,t/a,Upper bound,,NASEM (2019),Table 5.3
HT-DAC,CAPEX,,,675,,USD,1,t/a,Lower bound,,NASEM (2019),Table 5.3
HT-DAC,VOPEX,,Operation & Maintenance,18,,USD,1,t,Lower bound,,NASEM (2019),Table 5.3
HT-DAC,VOPEX,,Operation & Maintenance,33,,USD,1,t,Upper bound,,NASEM (2019),Table 5.3
HT-DAC,VOPEX,,Labour,6,,USD,1,t,Lower bound,,NASEM (2019),Table 5.3
HT-DAC,VOPEX,,Labour,10,,USD,1,t,Upper bound,,NASEM (2019),Table 5.3
HT-DAC,VOPEX,,Other,5,,USD,1,t,Lower bound,,NASEM (2019),Table 5.3
HT-DAC,VOPEX,,Other,7,,USD,1,t,Upper bound,,NASEM (2019),Table 5.3
LT-DAC,CAPEX Ann (??),,,186,,USD,1,t/a,"High cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 186 EUR/t",,NASEM (2019),Table 5.10
LT-DAC,CAPEX Ann (??),,,70,,USD,1,t/a,"Low cost scenario. Value stated in MEUR/yr, for a production of 1 Mt/yr = 70 EUR/t",,NASEM (2019),Table 5.10
