subtech,variable,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
Alkaline,CAPEX,2020.0,,400.0,0.0,EUR,0.67,kW;LHV,for a 100 MW(el) electrolyser,Vartiainen22,"Page 4, Figure 4"
Alkaline,CAPEX,2030.0,,240.0,50.0,EUR,0.7,kW;LHV,for a 100 MW(el) electrolyser,Vartiainen22,"Page 4, Figure 4"
Alkaline,CAPEX,2040.0,,140.0,75.0,EUR,0.73,kW;LHV,for a 100 MW(el) electrolyser,Vartiainen22,"Page 4, Figure 4"
Alkaline,CAPEX,2050.0,,80.0,75.0,EUR,0.76,kW;LHV,for a 100 MW(el) electrolyser,Vartiainen22,"Page 4, Figure 4"
Alkaline,CAPEX,2020.0,,806.0,143.0,EUR,0.69,kW;LHV,949 for a 5 MW(elec) and 663 for a 100 MW(elec) plant,Holst21,Appendix A
Alkaline,CAPEX,2030.0,,585.0,141.0,EUR,0.731,kW;LHV,726 for a 5 MW(elec) and 444 for a 100 MW(elec) plant,Holst21,Appendix A
PEM,CAPEX,2020.0,,848.0,130.0,EUR,0.654,kW;LHV,978 for a 5 MW(elec) and 718 for a 100 MW(elec) plant,Holst21,Appendix A
PEM,CAPEX,2030.0,,615.5,113.5,EUR,0.729,kW;LHV,729 for a 5 MW(elec) and 502 for a 100 MW(elec) plant,Holst21,Appendix A
Alkaline,CAPEX,2030.0,,536.0,152.0,USD,1.0,kW;LHV,,IRENA22,Page 23
Alkaline,CAPEX,2050.0,,230.0,96.0,USD,1.0,kW;LHV,,IRENA22,Page 23
Alkaline,CAPEX,,,950.0,450.0,USD,1.0,kW;LHV,calculated from range given in report,IEA Electrolyser special report,
PEM,CAPEX,,,1450.0,350.0,USD,1.0,kW;LHV,calculated from range given in report,IEA Electrolyser special report,
SOEC,CAPEX,,,4200.0,1400.0,USD,1.0,kW;LHV,calculated from range given in report,IEA Electrolyser special report,
Alkaline,CAPEX,2020.0,,1150.0,350.0,EUR,1.0,kW;LHV,,Tenhumberg20,"Table 2, Page 1588 (3/10)"
PEM,CAPEX,2020.0,,1750.0,350.0,EUR,1.0,kW;LHV,,Tenhumberg20,"Table 2, Page 1588 (3/10)"
SOEC,CAPEX,2020.0,,2000.0,,EUR,1.0,kW;LHV,Provided as a lower treshold,Tenhumberg20,"Table 2, Page 1588 (3/10)"
Alkaline,FOPEX,2020.0,,6.0,,EUR/a,0.67,kW;LHV,1.5% of CAPEX; reported in units of electric capacity,Vartiainen22,Page 4
Alkaline,FOPEX,2030.0,,2.1,,EUR/a,0.7,kW;LHV,10% LR decrease,Vartiainen22,Page 4
Alkaline,FOPEX,2040.0,,0.73,,EUR/a,0.73,kW;LHV,10% LR decrease,Vartiainen22,Page 4
Alkaline,FOPEX,2050.0,,0.25,,EUR/a,0.76,kW;LHV,10% LR decrease,Vartiainen22,Page 4
Alkaline,FOPEX,,,20.0,5.0,EUR/a,0.69,kW;LHV,electrolyser annual maintenance costs,Holst21,"Section 3.4, Page  57"
PEM,FOPEX,,,15.0,5.0,EUR/a,0.654,kW;LHV,electrolyser annual maintenance costs,Holst21,"Section 3.4, Page  57"
Alkaline,FOPEX,,,17.0,3.5,USD/a,1.0,kW;LHV,,Yates20,"Table 3, Page 10"
Alkaline,Efficiency|elec,2020.0,,67.0,,percent;LHV,,,1.5% of CAPEX; reported in units of electric capacity; 67% assumes the LHV,Vartiainen22,Page 4
Alkaline,Efficiency|elec,2030.0,,70.0,,percent;LHV,,,10% LR decrease,Vartiainen22,Page 4
Alkaline,Efficiency|elec,2040.0,,73.0,,percent;LHV,,,10% LR decrease,Vartiainen22,Page 4
