mode,variable,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
,CAPEX,,,230.0,,EUR,1.0,t/a,,Wortler13,
,CAPEX,,,414.0,,EUR,1.0,t/a,"This reference assumes the value provided by Wörtler et al., 2013 but with an additional integration factor of 1.8.","Agora Energiewende, 2022",
,CAPEX,,,605.9,,MEUR,1905400.0,t/a,Note that the reference value is not 2 Mt but ~1.9 Mt as per flow data presented in Table 2.,Jacobasch21,"Page 9, Table 6"
,FOPEX Relative,,,3.0,,percent,,,,"Agora Energiewende, 2022",
h2,Demand|h2,,,541.0,,m³;norm,1.1,t,"This source states 541 Nm³ of hydrogen per tonne of steel, but does not state how much DRI it assumes per steel. The conversion factor from Devlin et al, 2022 of 1.1 DRI/tSteel is therefore used.","Agora Energiewende, 2022",
h2,Demand|h2,,,52.0,,kg,1.1,t,"This source states 52 kg of hydrogen per tonne of semi-finished steel, and 1.1 tonnes of HBI per tonne of semi-finished steel, hence resulting in 52×0.909 kg of hydrogen per tonne of HBI.",Devlin22,Section 2.2.2
h2,Demand|h2,,,635.0,,m³;norm,1.0,t,,Holling17,Just before Table 1
h2,Demand|h2,,,58.17,,kg,1.03,t,This source states 58.17 kg of hydrogen per 1.03 tonnes of iron sponge.,Otto17,Figure 6
h2,Demand|h2,,reduction agent,504.5,20.5,m³;norm,1.0,t,Only the value reported for the hydrogen needed as a reduction agent is mentioned. The remaining hydrogen is instead reported here as heat.,Rechenberger20,Section 4.2
h2,Demand|h2,,reduction agent,503.5,21.5,m³;norm,1.0,t,Only the value reported for the hydrogen needed as a reduction agent is mentioned. The remaining hydrogen is instead reported here as heat.,Sasiain20,"Results and Discussion, 8th paragraph"
h2,Demand|h2,,heat,242.0,,m³;norm,1.0,t,This is the hydrogen not used as a reduction agent but instead as a heat source.,Rechenberger20,Section 4.2
h2,Demand|h2,,heat,242.0,,m³;norm,1.0,t,This is the hydrogen not used as a reduction agent but instead as a heat source.,Sasiain20,"Results and Discussion, 8th paragraph"
h2,Demand|h2,,,51.0,,kg,1.08,t,This source reports its values per tonne of steel. We assume 1.08 tonnes of HBI used per tonne of steel (calculated from 95% Fe2O3 in 1.504 tonnes of iron ore) and divide by that factor.,Vogl18,Section 3
h2,Demand|h2,,,115742.31,,t,1744694.39,t,,Jacobasch21,"Page 6, Table 2"
h2,Demand|heat,,,0.0,,MWh,1.0,t,This source does not assume any additional heat demand for the direct reduction other than the hydrogen and natural gas used in the process.,"Agora Energiewende, 2022",
h2,Demand|heat,,,0.45,,MWh,1.1,t,"This source states 0.45 MWh of electricity for H2 heating per tonne of liquid steel, and 1.1 tonnes of HBI per tonne of semi-finished steel, hence resulting in 0.45×0.909 MWh of electricity per tonne of HBI.",Devlin22,Chapter 2.2.2
h2,Demand|heat,,,0.23,,MWh,1.0,t,,Holling17,Just before Table 1
h2,Demand|heat,,,5.62,,GJ,1.03,t,This source states 5.62 GJ of NG demand for heat provision per 1.03 tonnes of iron sponge.,Otto17,Figure 6
h2,Demand|heat,,,0.286,,MWh,1.08,t,The value 0.286 was read off from the graph and corresponds to the ore heating for 100% HBI. This source reports its values per tonne of steel. We assume 1.08 tonnes of HBI used per tonne of steel (calculated from 95% Fe2O3 in 1.504 tonnes of iron ore) and divide by that factor.,Vogl18,Figure 2
h2,Demand|ng,,,50.0,,m³;norm,1.1,t,"This source states 50 Nm³ of natural gas per tonne of steel, but does not state how much DRI it assumes per steel. The conversion factor from Devlin et al, 2022 of 1.1 DRI/tSteel is therefore used.","Agora Energiewende, 2022",
h2,Demand|ng,,,48.0,,m³;norm,1.0,t,This source assumes a natural-gas demand to provide not only heat but also the carbon content of the DRI.,Rechenberger20,Section 4.2
h2,Demand|ng,,,48.0,,m³;norm,1.0,t,This source assumes a natural-gas demand to provide not only heat but also the carbon content of the DRI.,Sasiain20,"Results and Discussion, 8th paragraph"
h2,Demand|elec,,,0.065,,MWh,1.1,t,"This source states 0.065 MWh of electricity for H2 compression per tonne of liquid steel, and 1.1 tonnes of HBI per tonne of semi-finished steel, hence resulting in 0.065×0.909 MWh of electricity per tonne of HBI.",Devlin22,Section 2.2.2
h2,Demand|elec,,,0.08,,MWh,1.0,t,,Holling17,Just before Table 1
h2,Demand|elec,,,0.46,,GJ,1.03,t,This source states 0.46 GJ of electric power per 1.03 tonnes of iron sponge.,Otto17,Figure 6
