variable,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,2014,,496.5,,EUR,1,t,,"Pérez-Fortes, 2015",Table 3
CAPEX,2019,,790,,USD,1,t/a,"!!This includes electrolyser CAPEX costs. See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019),
CAPEX,2030,,595,,USD,1,t/a,"!!This includes electrolyser CAPEX costs. See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019),
CAPEX,,,209.5,,EUR,1,t,"CB: calculated manually from: CAPEX = PEC * 6.32, (as stated in the paper) and 5kt/d plant. See",Nyari (2020),Table A4
CAPEX,,,169,,EUR,1,t,"CB: calculated manually from paper data: CAPEX = 11 MEUR, (as stated in the paper) and 65 kt/a plant. See",Bos (2020),Table S8
VOPEX,,,25,,EUR,1,t,"This source states fixed cost of 11 MEUR/a for a capacity of 440 kt/a, which yields total fixed OPEX of 11000/440=25 EUR/t. Although it is quoted as a fixed OPEX cost, we give this as a vopex cost, since it is in EUR/t","Pérez-Fortes, 2015",Table 3
VOPEX,,Labour,2.01,,EUR,1,t,"Nyari misquotes the result from Collodi (2017). There are in fact 61 workers * 60 000 mean salary =3.66MEUR/a. Production of 5000 MTPD => 1.825e6 t/a.Although it is quoted as a fixed OPEX cost, we give this as a vopex cost, since it is in EUR/t ",Nyari (2020),Table 5
VOPEX,,Admin,0.6,,EUR,1,t,"Nyari misquotes the result from Collodi (2017). admin + overhead component = 30% * (direct_labour + om). Here we have only the 30% * direct labour.Production of 5000 MTPD => 1.825e6 t/a. Although it is quoted as a fixed OPEX cost, we give this as a vopex cost, since it is in EUR/t",Nyari (2020),Table 5
FOPEX Relative,,Admin,0.45,,percent,1,t,Nyari misquotes the result from Collodi (2017). admin + overhead component = 30% * (direct_labour + om). Here we have only the 30% * om = 0.45% of TPC .,Nyari (2020),Table 5
FOPEX Relative,,Operation & Maintenance,1.5,,percent,1,t,Operation and maintenance. Percentage of the total plant cost (TPC),Nyari (2020),Table 5
FOPEX Relative,,Tax,1,,percent,1,t,"In fact, this comprises insurance + taxes. Percentage of the total plant cost (TPC)",Nyari (2020),Table 5
FOPEX Relative,,,1.5,,percent,1,t,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019),
Demand|elec,,,1.5,,MWh,1,t,,"DECHEMA, 2017",Section 4.4.3
Demand|elec,,,0.3,,MWh,1,t,data given in the table as 1.07 MJ/kg. Converted manually by C.B to MWh/t. ,"Soler, 2022",Table 3
Demand|elec,2019,,25.4,,GJ,1,t,"See ""Assumptions"" of the report. Here, we have GJ(el)/t(MeOH)",IEA The future of Hydrogen (2019),
Demand|elec,2030,,23.7,,GJ,1,t,"See ""Assumptions"" of the report. Here, we have GJ(el)/t(MeOH)",IEA The future of Hydrogen (2019),
Demand|elec,,,0.175,,kWh,1,kg,,Nyari (2020),Table 6
Demand|co2,,,1.46,,t,1,t,,Pérez-Fortes (2015),Table 1
Demand|co2,,,1.373,,t,1,t,,DECHEMA 2017,Section 4.4.3
Demand|co2,,,1.4,,t,1,t,,Soler 2022,Table 3
Demand|co2,,,1.397,,t,1,t,,Nyari (2020),Table 6
Demand|h2,,,0.199,,t,1,t,,Pérez-Fortes (2015),Table 1
Demand|h2,,,0.193,,t,1,t,,Soler 2022,Table 3
Demand|h2,,,189,,kg,1,t,,DECHEMA (2017),Section 4.4.3
Demand|h2,,,0.192,,t,1,t,,Nyari (2020),Table 6
Lifetime,,,25,,year,1,t,"See ""Assumptions"" of the report.",IEA The future of Hydrogen (2019),
Emissions|CO2,,,0.023,,kg,1,kg,,Nyari (2020),Table 6
