reported_variable,reference_variable,period,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,source,source_detail
CAPEX,Output|urea,2023,4.05,,MUSD_2022,1000,metric_ton/a,,Palys23,"Section 2.3, Page 6"
Input|elec,Output|urea,2020,173.7,27.2,kWh,1,metric_ton,,Fiamelda20,"Section 3.5, Page 5"
Input|elec,Output|urea,2018,91.5,68.5,kWh,1,metric_ton,,Jarvis18,Section 2.1.2
Input|elec,Output|urea,2023,0.18,,MWh,1,metric_ton,,Palys23,"Section 2.3, Page 6"
Input|heat,Output|urea,2015,3.29,,GJ,1,metric_ton,Heat required for steam production.,Bazzanella17,Section 4.3.1
Input|heat,Output|urea,2023,0.95,,MWh,1,metric_ton,,Palys23,"Section 2.3, Page 6"
Input|nh3,Output|urea,2015,0.57,,metric_ton,1,metric_ton,,Bazzanella17,Section 4.3.1
Input|nh3,Output|urea,1974,0.58,,metric_ton,1,metric_ton,,Kent74,
Input|co2,Output|urea,2018,0.7425,0.0075,metric_ton,1,metric_ton,,Jarvis18,Section 2.1.2
Input|co2,Output|urea,2017,0.73,,metric_ton,1,metric_ton,,Bazzanella17,Section 4.3.1
Input|co2,Output|urea,1974,0.76,,metric_ton,1,metric_ton,Prozess-Output: Wasser (0.34 t/t); CO2 und Ammonia werden teilweise im Kreis geführt (überstöchiometrischer Bedarf),Kent74,
Lifetime,,2018,20,,year,,,,Jarvis18,Table 2
