type,flow_type,subtech,region,period,component,reported_value,reported_unc,reported_unit,reference_value,reference_unit,comment,src_ref,src_comment
capex,,HT-DAC,,2018.0,,1126.8,,MUSD,0.98,Mt/a,Value reported for a capacity of 0.98 Mt-CO2/year.,"Keith et al., 2018",Corresponding to the Carbon Engineering pilot plant.
capex,,LT-DAC,,2015.0,,730.0,,EUR,,,,"Fasihi et al., 2019",Based on a Antecy pilot plant and future plant projections.
fopex_rel,,,,2018.0,,4.0,,percent,,,,"Keith et al., 2018",Corresponding to the Carbon Engineering pilot plant.
demand,elec,HT-DAC,,2018.0,,366.0,,kWh,,,,"Keith et al., 2018",Corresponding to the Carbon Engineering pilot plant.
demand,heat,HT-DAC,,2018.0,,5.25,,GJ,,,Assuming high temperature (900 °C).,"Keith et al., 2018",Corresponding to the Carbon Engineering pilot plant.
demand,elec,LT-DAC,,2015.0,,694.0,,kWh,,,Including compression.,"Fasihi et al., 2019",Based on a Antecy pilot plant and future plant projections.
demand,heat,LT-DAC,,2015.0,,2084.0,,kWh,,,Assuming low temperature (80–100 °C).,"Fasihi et al., 2019",Based on a Antecy pilot plant and future plant projections.
fopex_rel,,LT-DAC,,2020.0,,4.0,,percent,,,,"Fasihi et al., 2019",Based on a Antecy pilot plant and future plant projections.
capex,,HT-DAC,,2020.0,,815.0,,EUR,,,,"Fasihi et al., 2019",
fopex_rel,,HT-DAC,,2020.0,,3.7,,percent,,,,"Fasihi et al., 2019",
lifetime,,HT-DAC,,2020.0,,25.0,,year,,,,"Fasihi et al., 2019",
lifetime,,LT-DAC,,2020.0,,20.0,,year,,,,"Fasihi et al., 2019",
flh,,,,2020.0,,8000.0,,hour,,,,"Fasihi et al., 2019",perhaps an overoptimistic assumption
demand,elec,,,2021.0,CO2 compression,111.0,,kWh,,,,Madhu et al. (2021),
demand,elec,HT-DAC,,2021.0,Non-compression,345.0,56.0,kWh,,,,Madhu et al. (2021),
demand,heat,HT-DAC,,2021.0,,6.6,1.5,GJ,,,Assuming high temperature (850–900 °C).,Madhu et al. (2021),
demand,elec,LT-DAC,,2021.0,Non-compression,180.0,110.0,kWh,,,,Madhu et al. (2021),
demand,heat,LT-DAC,,2021.0,,6.25,1.25,GJ,,,Assuming low temperature (80–120 °C).,Madhu et al. (2021),
demand,elec,,,2022.0,CO2 compression,0.5,,GJ,,,,IEA Direct Air Capture (2022),
demand,elec,HT-DAC,,2022.0,Non-compression,0.8,,GJ,,,,IEA Direct Air Capture (2022),
demand,heat,HT-DAC,,2022.0,,5.3,,GJ,,,Assuming a series of units operating at high temperature (between 300°C and 900°C).,IEA Direct Air Capture (2022),
demand,elec,LT-DAC,,2022.0,Non-compression,2.3,,GJ,,,,IEA Direct Air Capture (2022),
demand,heat,LT-DAC,,2022.0,,7.2,,GJ,,,Assuming medium temperature (80-120°C).,IEA Direct Air Capture (2022),
demand,water,HT-DAC,,2022.0,,25.0,25.0,t,,,,IEA Direct Air Capture (2022),
capex,,HT-DAC,,,,80.0,,USD,,,optimistic assumption,Ozkan et al. (2022),
capex,,HT-DAC,,,,150.0,,USD,,,conservative assumption,Ozkan et al. (2022),
capex,,LT-DAC,,,,200.0,,USD,,,optimistic assumption,Ozkan et al. (2022),
capex,,LT-DAC,,,,1000.0,,USD,,,conservative assumption,Ozkan et al. (2022),
fopex_spec,,HT-DAC,,,,40.0,,USD,,,optimistic assumption,Ozkan et al. (2022),
fopex_spec,,HT-DAC,,,,80.0,,USD,,,conservative assumption,Ozkan et al. (2022),
fopex_spec,,LT-DAC,,,,5.0,,USD,,,optimistic assumption,Ozkan et al. (2022),
fopex_spec,,LT-DAC,,,,50.0,,USD,,,conservative assumption,Ozkan et al. (2022),
capex,,LT-DAC,,2050.0,,199.0,,EUR,,t/a,conservative assumption,"Fasihi et al., 2019",
capex,,LT-DAC,,2050.0,,84.0,,EUR,,t/a,optimistic assumption,"Fasihi et al., 2019",
capex,,HT-DAC,,2050.0,,222.0,,EUR,,t/a,conservative assumption,"Fasihi et al., 2019",
capex,,HT-DAC,,2050.0,,93.0,,EUR,,t/a,optimistic assumption,"Fasihi et al., 2019",
fopex_rel,,,,2020.0,,4.0,,percent,,,,"Lux et al., 2023",
lifetime,,LT-DAC,,2050.0,,30.0,,year,,,,"Lux et al., 2023",
lifetime,,LT-DAC,,2050.0,,25.0,,year,,,,"Lux et al., 2023",
demand,elec,LT-DAC,,2050.0,,1685.0,,kWh,,,,"Lux et al., 2023",
demand,elec,LT-DAC,,2050.0,,1339.0,,kWh,,,,"Lux et al., 2023",
demand,elec,HT-DAC,,,,0.49,,MWh,,,,"Socolow et al., 2011",
demand,heat,HT-DAC,,,,8.1,,GJ,,,,"Socolow et al., 2011",
flh,,HT-DAC,,,,8000.0,,hour,,,,"Socolow et al., 2011",
capex,,HT-DAC,,,,2900.0,,EUR,,t/a,"Used line ""Total Installed capital cost"" for the ""realistic"" column","Socolow et al., 2011",table 2.5
