from,to,ft,factor
EUR,MUSD,,0.000001113
EUR,USD,,1.112540000
EUR,kEUR,,0.001000000
EUR,MEUR,,0.000001000
t,kg,,1000.000000000
t,kilometric_ton,,0.001000000
GJ,MWh,,0.277777778
GJ,kWh,,277.777777778
GJ,MJ,,1000.000000000
GJ,GWh,,0.000277778
MWh,GJ,,3.600000000
MWh,kWh,,1000.000000000
MWh,MJ,,3600.000000000
MWh,GWh,,0.001000000
MUSD,EUR,,898844.086504755
MUSD,USD,,1000000.000000000
MUSD,kEUR,,898.844086505
MUSD,MEUR,,0.898844087
Mt/a,t/a,,1000000.000000000
Mt/a,kg/a,,1000000000.000000000
kWh,GJ,,0.003600000
kWh,MWh,,0.001000000
kWh,MJ,,3.600000000
kWh,GWh,,0.000001000
year,hour,,8760.000000000
year,a,,1.000000000
hour,year,,0.000114155
hour,a,,0.000114155
USD,EUR,,0.898844087
USD,MUSD,,0.000001000
USD,kEUR,,0.000898844
USD,MEUR,,0.000000899
t/a,Mt/a,,0.000001000
t/a,kg/a,,1000.000000000
kg,t,,0.001000000
kg,kilometric_ton,,0.000001000
MJ,GJ,,0.001000000
MJ,MWh,,0.000277778
MJ,kWh,,0.277777778
MJ,GWh,,0.000000278
kg/a,Mt/a,,0.000000001
kg/a,t/a,,0.001000000
kEUR,EUR,,1000.000000000
kEUR,MUSD,,0.001112540
kEUR,USD,,1112.540000000
kEUR,MEUR,,0.001000000
a,year,,1.000000000
a,hour,,8760.000000000
GWh,GJ,,3600.000000000
GWh,MWh,,1000.000000000
GWh,kWh,,1000000.000000000
GWh,MJ,,3600000.000000000
MEUR,EUR,,1000000.000000000
MEUR,MUSD,,1.112540000
MEUR,USD,,1112540.000000000
MEUR,kEUR,,1000.000000000
kilometric_ton,t,,1000.000000000
kilometric_ton,kg,,1000000.000000000
GJ,GJ;LHV,elec,1.000000000
GJ,GJ;HHV,elec,1.000000000
GJ,MWh,elec,0.277777778
GJ,MWh;LHV,elec,0.277777778
GJ,MWh;HHV,elec,0.277777778
GJ,kWh,elec,277.777777778
GJ,kWh;LHV,elec,277.777777778
GJ,kWh;HHV,elec,277.777777778
GJ,MJ,elec,1000.000000000
GJ,MJ;LHV,elec,1000.000000000
GJ,MJ;HHV,elec,1000.000000000
GJ,GWh,elec,0.000277778
GJ,GWh;LHV,elec,0.000277778
GJ,GWh;HHV,elec,0.000277778
GJ;LHV,GJ,elec,1.000000000
GJ;LHV,GJ;HHV,elec,1.000000000
GJ;LHV,MWh,elec,0.277777778
GJ;LHV,MWh;LHV,elec,0.277777778
GJ;LHV,MWh;HHV,elec,0.277777778
GJ;LHV,kWh,elec,277.777777778
GJ;LHV,kWh;LHV,elec,277.777777778
GJ;LHV,kWh;HHV,elec,277.777777778
GJ;LHV,MJ,elec,1000.000000000
GJ;LHV,MJ;LHV,elec,1000.000000000
GJ;LHV,MJ;HHV,elec,1000.000000000
GJ;LHV,GWh,elec,0.000277778
GJ;LHV,GWh;LHV,elec,0.000277778
GJ;LHV,GWh;HHV,elec,0.000277778
GJ;HHV,GJ,elec,1.000000000
GJ;HHV,GJ;LHV,elec,1.000000000
GJ;HHV,MWh,elec,0.277777778
GJ;HHV,MWh;LHV,elec,0.277777778
GJ;HHV,MWh;HHV,elec,0.277777778
GJ;HHV,kWh,elec,277.777777778
GJ;HHV,kWh;LHV,elec,277.777777778
GJ;HHV,kWh;HHV,elec,277.777777778
GJ;HHV,MJ,elec,1000.000000000
GJ;HHV,MJ;LHV,elec,1000.000000000
GJ;HHV,MJ;HHV,elec,1000.000000000
GJ;HHV,GWh,elec,0.000277778
GJ;HHV,GWh;LHV,elec,0.000277778
GJ;HHV,GWh;HHV,elec,0.000277778
MWh,GJ,elec,3.600000000
MWh,GJ;LHV,elec,3.600000000
MWh,GJ;HHV,elec,3.600000000
MWh,MWh;LHV,elec,1.000000000
MWh,MWh;HHV,elec,1.000000000
MWh,kWh,elec,1000.000000000
MWh,kWh;LHV,elec,1000.000000000
MWh,kWh;HHV,elec,1000.000000000
MWh,MJ,elec,3600.000000000
MWh,MJ;LHV,elec,3600.000000000
MWh,MJ;HHV,elec,3600.000000000
MWh,GWh,elec,0.001000000
MWh,GWh;LHV,elec,0.001000000
MWh,GWh;HHV,elec,0.001000000
MWh;LHV,GJ,elec,3.600000000
MWh;LHV,GJ;LHV,elec,3.600000000
MWh;LHV,GJ;HHV,elec,3.600000000
MWh;LHV,MWh,elec,1.000000000
MWh;LHV,MWh;HHV,elec,1.000000000
MWh;LHV,kWh,elec,1000.000000000
MWh;LHV,kWh;LHV,elec,1000.000000000
MWh;LHV,kWh;HHV,elec,1000.000000000
MWh;LHV,MJ,elec,3600.000000000
MWh;LHV,MJ;LHV,elec,3600.000000000
MWh;LHV,MJ;HHV,elec,3600.000000000
MWh;LHV,GWh,elec,0.001000000
MWh;LHV,GWh;LHV,elec,0.001000000
MWh;LHV,GWh;HHV,elec,0.001000000
MWh;HHV,GJ,elec,3.600000000
MWh;HHV,GJ;LHV,elec,3.600000000
MWh;HHV,GJ;HHV,elec,3.600000000
MWh;HHV,MWh,elec,1.000000000
MWh;HHV,MWh;LHV,elec,1.000000000
MWh;HHV,kWh,elec,1000.000000000
MWh;HHV,kWh;LHV,elec,1000.000000000
MWh;HHV,kWh;HHV,elec,1000.000000000
MWh;HHV,MJ,elec,3600.000000000
MWh;HHV,MJ;LHV,elec,3600.000000000
