source,source_detail,subtech,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
DEA-TDRF-2023,"Sheet 86 AEC 1MW, Row 24",AEL,1 MW,2020,CAPEX,Output Capacity|Hydrogen,1566,918,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 AEC 1MW, Row 24",AEL,1 MW,2030,CAPEX,Output Capacity|Hydrogen,1164,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 AEC 1MW, Row 24",AEL,1 MW,2040,CAPEX,Output Capacity|Hydrogen,874,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 AEC 1MW, Row 24",AEL,1 MW,2050,CAPEX,Output Capacity|Hydrogen,648,438,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 AEC 100MW, Row 24",AEL,100 MW,2020,CAPEX,Output Capacity|Hydrogen,1358,374,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 AEC 100MW, Row 24",AEL,100 MW,2030,CAPEX,Output Capacity|Hydrogen,919,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 AEC 100MW, Row 24",AEL,100 MW,2040,CAPEX,Output Capacity|Hydrogen,583,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 AEC 100MW, Row 24",AEL,100 MW,2050,CAPEX,Output Capacity|Hydrogen,463,201,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 PEMEC 1MW, Row 24",PEM,1 MW,2020,CAPEX,Output Capacity|Hydrogen,2215,497,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 PEMEC 1MW, Row 24",PEM,1 MW,2030,CAPEX,Output Capacity|Hydrogen,1378,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 PEMEC 1MW, Row 24",PEM,1 MW,2040,CAPEX,Output Capacity|Hydrogen,919,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 PEMEC 1MW, Row 24",PEM,1 MW,2050,CAPEX,Output Capacity|Hydrogen,788,190,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 PEMEC 100MW, Row 24",PEM,100 MW,2020,CAPEX,Output Capacity|Hydrogen,2215,497,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 PEMEC 100MW, Row 24",PEM,100 MW,2030,CAPEX,Output Capacity|Hydrogen,1378,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 PEMEC 100MW, Row 24",PEM,100 MW,2040,CAPEX,Output Capacity|Hydrogen,919,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 PEMEC 100MW, Row 24",PEM,100 MW,2050,CAPEX,Output Capacity|Hydrogen,788,190,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Row 23",SOEC,1 MW,2020,CAPEX,Output Capacity|Hydrogen,8047,2163,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Row 23",SOEC,1 MW,2030,CAPEX,Output Capacity|Hydrogen,3279,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Row 23",SOEC,1 MW,2040,CAPEX,Output Capacity|Hydrogen,2273,,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Row 23",SOEC,1 MW,2050,CAPEX,Output Capacity|Hydrogen,1303,368,EUR_2020,1,kg_H2/day,
DEA-TDRF-2023,"Sheet 86 SOEC 1MW, Rows 9 and 10",SOEC,1 MW,2020,Input|Heat,Input|Electricity,20.5,2,percent MWh,79.5,percent MWh,
