source,source_detail,subtech,heat_source,size,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
DEA-TIPIH-2026,"Sheet 6.1 (Boiler, gas and oil), Row 7 (Efficiency at nominal load)",gas-steam-boiler,*,0.5-50 MW,2025,Input|Natural Gas,Output|Heat,1,,kWh_NG_LHV,0.94,kWh,Thermal efficiency 94% (range 92-95%); steam boiler with economiser
DEA-TIPIH-2026,"Sheet 6.1 (Boiler, gas and oil), Row 22 (Nominal investment)",gas-steam-boiler,*,0.5-50 MW,2025,CAPEX,Output Capacity|Heat,0.09,,MEUR_2024,1,MW,"Total installed cost: boiler, burner, pumps, economiser, water treatment system, chimney; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)"
DEA-TIPIH-2026,"Sheet 6.1 (Boiler, gas and oil), Row 25 (Fixed O&M costs)",gas-steam-boiler,*,0.5-50 MW,2025,OPEX Fixed,Output Capacity|Heat,2000,,EUR_2024/a,1,MW,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 6.1 (Boiler, gas and oil), Row 26 (Variable O&M costs)",gas-steam-boiler,*,0.5-50 MW,2025,OPEX Variable,Output|Heat,1.23,,EUR_2024,1,MWh,Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 6.1 (Boiler, gas and oil), Row 12 (Technical lifetime)",gas-steam-boiler,*,0.5-50 MW,2025,Lifetime,,25,,a,,,
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 7 (Efficiency at nominal load)",electrode-boiler,*,1-5 MW,2025,Input|Electricity,Output|Heat,1,,kWh,0.99,kWh,Electrical efficiency 99% (range 98-100%)
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,1-5 MW,2025,CAPEX,Output Capacity|Heat,0.25,,MEUR_2024,1,MW,Low-voltage (0.4-0.69 kV) steam boiler including transformer; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,1-5 MW,2030,CAPEX,Output Capacity|Heat,0.22,,MEUR_2024,1,MW,Low-voltage (0.4-0.69 kV) steam boiler including transformer; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,1-5 MW,2035,CAPEX,Output Capacity|Heat,0.22,,MEUR_2024,1,MW,Low-voltage (0.4-0.69 kV) steam boiler including transformer; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,1-5 MW,2040,CAPEX,Output Capacity|Heat,0.22,,MEUR_2024,1,MW,Low-voltage (0.4-0.69 kV) steam boiler including transformer; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
DEA-TIPIH-2026,"Sheet 5.1a (Electric boiler, 0.4-0.69 kV, steam, 1-12 bar), Row 19 (Nominal investment)",electrode-boiler,*,1-5 MW,2050,CAPEX,Output Capacity|Heat,0.22,,MEUR_2024,1,MW,Low-voltage (0.4-0.69 kV) steam boiler including transformer; Source reports EUR 2025; EUR_2024 used as proxy (EUR_2025 not registered in cet-units)
