subtech,variable,reference_variable,period,value,uncertainty,unit,reference_value,reference_unit,comment,source,source_detail
Elektrische Dampferzeugung,CAPEX,Output Capacity|Heat,2022,15.4109589,,EUR,1,MWh/yr,,https://static.agora-energiewende.de/fileadmin/Projekte/2018/Dekarbonisierung_Industrie/166_A-EW_Klimaneutrale_Industrie_Ausfuehrliche-Darstellung_WEB.pdf,
Agora-Dampfkessel,CAPEX,Output Capacity|Heat,2022,26.71232877,,EUR,1,MWh/yr,,,
Agora-Elektrodenkessel,CAPEX,Output Capacity|Heat,2022,19.97716895,,EUR,1,MWh/yr,,,
Agora-Hochtemperatur WP,CAPEX,Output Capacity|Heat,2022,79.33789954,,EUR,1,MWh/yr,,,
Agora-H�chsttemperatur WP,CAPEX,Output Capacity|Heat,2022,98.85844749,,EUR,1,MWh/yr,,,
Agora-Dampfkessel+5%E,CAPEX,Output Capacity|Heat,2022,26.71232877,,EUR,1,MWh/yr,,,
Agora-Elektrodenkessel+5%E,CAPEX,Output Capacity|Heat,2022,19.97716895,,EUR,1,MWh/yr,,,
Agora-Hochtemperatur WP+5%E,CAPEX,Output Capacity|Heat,2022,79.33789954,,EUR,1,MWh/yr,,,
Agora-H�chsttemperatur WP+5%E,CAPEX,Output Capacity|Heat,2022,98.85844749,,EUR,1,MWh/yr,,,
Agora-Dampfkessel-5%E,CAPEX,Output Capacity|Heat,2022,26.71232877,,EUR,1,MWh/yr,,,
Agora-Elektrodenkessel-5%E,CAPEX,Output Capacity|Heat,2022,19.97716895,,EUR,1,MWh/yr,,,
Agora-Hochtemperatur WP-5%E,CAPEX,Output Capacity|Heat,2022,79.33789954,,EUR,1,MWh/yr,,,
Agora-H�chsttemperatur WP-5%E,CAPEX,Output Capacity|Heat,2022,98.85844749,,EUR,1,MWh/yr,,,
Erdgasbeheizte Dampferzeugung,Emissions|CO2,Output|Heat,,0.2,,t,1,MWh,,ISI intern (Matthias Rehfeldt),
Elektrische Dampferzeugung,Emissions|CO2,Output|Heat,,0,,t,1,MWh,,ISI intern (Matthias Rehfeldt),
Wasserstoffbrenner (NE-Metalle),Emissions|CO2,Output|Heat,,0,,t,1,MWh,,IBV,
Agora-Dampfkessel,Emissions|CO2,Output|Heat,,0.4,,t,1,MWh,,Agora P2H-rechner,
Agora-Elektrodenkessel,Emissions|CO2,Output|Heat,,0,,t,1,MWh,230 �C; 30 Bar,Agora P2H-rechner,
Agora-Hochtemperatur WP,Emissions|CO2,Output|Heat,,0,,t,1,MWh,85 �C,Agora P2H-rechner,
Agora-H�chsttemperatur WP,Emissions|CO2,Output|Heat,,0,,t,1,MWh,180 �C; 4 bar,Agora P2H-rechner,
Erdgasbrenner (NE-Metalle),Emissions|CO2,Output|Heat,,0.21,,t,1,MWh,,IBV,
Agora-Dampfkessel+5%E,Emissions|CO2,Output|Heat,,0.38,,t,1,MWh,,Agora P2H-rechner,
Agora-Elektrodenkessel+5%E,Emissions|CO2,Output|Heat,,0,,t,1,MWh,,Agora P2H-rechner,
Agora-Hochtemperatur WP+5%E,Emissions|CO2,Output|Heat,,0,,t,1,MWh,,Agora P2H-rechner,
Agora-H�chsttemperatur WP+5%E,Emissions|CO2,Output|Heat,,0,,t,1,MWh,,Agora P2H-rechner,
Agora-Dampfkessel-5%E,Emissions|CO2,Output|Heat,,0.4,,t,1,MWh,,Agora P2H-rechner,
Agora-Elektrodenkessel-5%E,Emissions|CO2,Output|Heat,,0,,t,1,MWh,,Agora P2H-rechner,
Agora-Hochtemperatur WP-5%E,Emissions|CO2,Output|Heat,,0,,t,1,MWh,,Agora P2H-rechner,
Agora-H�chsttemperatur WP-5%E,Emissions|CO2,Output|Heat,,0,,t,1,MWh,,Agora P2H-rechner,
Erdgasbeheizte Dampferzeugung,Input|Fossil Gas,Output|Heat,,1.11,,MWh,1,MWh,,ISI intern (Matthias Rehfeldt),
Erdgasbeheizte Industrie�fen,Input|Fossil Gas,Output|Heat,,1.11,,MWh,1,MWh,,ISI intern (Matthias Rehfeldt),
Agora-Dampfkessel,Input|Fossil Gas,Output|Heat,,2,,MWh,1,MWh,,Agora P2H-rechner,
Erdgasbrenner (NE-Metalle),Input|Fossil Gas,Output|Heat,,1,,MWh,1,MWh,,IBV,
Agora-Dampfkessel+5%E,Input|Fossil Gas,Output|Heat,,1.9,,MWh,1,MWh,,Agora P2H-rechner,
Agora-Dampfkessel-5%E,Input|Fossil Gas,Output|Heat,,2.1,,MWh,1,MWh,,Agora P2H-rechner,
Hybridisierung (elektrisch),Input|Electricity,Output|Heat,,1.05,,MWh,1,MWh,,ISI intern (Matthias Rehfeldt),
Elektrische Dampferzeugung,Input|Electricity,Output|Heat,,1.05,,MWh,1,MWh,,ISI intern (Matthias Rehfeldt),
Hybridisierung (elektrisch),Input|Electricity,Output|Heat,,1.05,,MWh,1,MWh,,ISI intern (Matthias Rehfeldt),
Elektrische Industrie�fen,Input|Electricity,Output|Heat,,1.05,,MWh,1,MWh,,ISI intern (Matthias Rehfeldt),
Agora-Elektrodenkessel,Input|Electricity,Output|Heat,,1.71,,MWh,1,MWh,230 �C; 30 Bar,Agora P2H-rechner,
Agora-Hochtemperatur WP,Input|Electricity,Output|Heat,,0.97,,MWh,1,MWh,85 �C,Agora P2H-rechner,
Agora-H�chsttemperatur WP,Input|Electricity,Output|Heat,,1.15,,MWh,1,MWh,180 �C; 4 bar,Agora P2H-rechner,
Agora-Elektrodenkessel+5%E,Input|Electricity,Output|Heat,,1.6245,,MWh,1,MWh,,Agora P2H-rechner,
Agora-Hochtemperatur WP+5%E,Input|Electricity,Output|Heat,,0.9215,,MWh,1,MWh,,Agora P2H-rechner,
Agora-H�chsttemperatur WP+5%E,Input|Electricity,Output|Heat,,1.0925,,MWh,1,MWh,,Agora P2H-rechner,
Agora-Elektrodenkessel-5%E,Input|Electricity,Output|Heat,,1.7955,,MWh,1,MWh,,Agora P2H-rechner,
Agora-Hochtemperatur WP-5%E,Input|Electricity,Output|Heat,,1.0185,,MWh,1,MWh,,Agora P2H-rechner,
Agora-H�chsttemperatur WP-5%E,Input|Electricity,Output|Heat,,1.2075,,MWh,1,MWh,,Agora P2H-rechner,
Wasserstoffbrenner (NE-Metalle),Input|Electricity,Output|Heat,,30.0030003,,kg,1,MWh,,IBV,
Agora-Dampfkessel,OPEX Variable,Output|Heat,,5.85,,EUR,1,MWh,,Agora P2H-rechner,
Agora-Elektrodenkessel,OPEX Variable,Output|Heat,,3,,EUR,1,MWh,230 �C; 30 Bar,Agora P2H-rechner,
Agora-Hochtemperatur WP,OPEX Variable,Output|Heat,,3,,EUR,1,MWh,85 �C,Agora P2H-rechner,
Agora-H�chsttemperatur WP,OPEX Variable,Output|Heat,,3,,EUR,1,MWh,180 �C; 4 bar,Agora P2H-rechner,
Agora-Dampfkessel+5%E,OPEX Variable,Output|Heat,,5.85,,EUR,1,MWh,,Agora P2H-rechner,
Agora-Elektrodenkessel+5%E,OPEX Variable,Output|Heat,,3,,EUR,1,MWh,,Agora P2H-rechner,
Agora-Hochtemperatur WP+5%E,OPEX Variable,Output|Heat,,3,,EUR,1,MWh,,Agora P2H-rechner,
Agora-H�chsttemperatur WP+5%E,OPEX Variable,Output|Heat,,3,,EUR,1,MWh,,Agora P2H-rechner,
Agora-Dampfkessel-5%E,OPEX Variable,Output|Heat,,5.85,,EUR,1,MWh,,Agora P2H-rechner,
Agora-Elektrodenkessel-5%E,OPEX Variable,Output|Heat,,3,,EUR,1,MWh,,Agora P2H-rechner,
Agora-Hochtemperatur WP-5%E,OPEX Variable,Output|Heat,,3,,EUR,1,MWh,,Agora P2H-rechner,
