source,source_detail,carbon_capture,period,component,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
IEA-GHG-2013,"Page 289 of 642, Document Page D-12, Volume 2, Section 4.7, Table D-4, Reference Case",No Capture,2013,#,CAPEX,Output Capacity|Steel Hot-rolled Coil,4124,,mnUSD_2010,4,Mt/yr,Excluding recurring CAPEX.
IEA-GHG-2013,"Page 275 of 642, Document Page C-15, Volume 2, Section 4.3, Table C-7, Reference Case",No Capture,2013,#,GHG Emissions|CO2,Output|Steel Hot-rolled Coil,2094.14,,kg CO2,1,t,
IEA-GHG-2013,"Page 274 of 642, Document Page C-14, Volume 2, Section 4.1, Table C-6, Reference Case",No Capture,2013,Coking coal,Input|Coal,Output|Steel Hot-rolled Coil,16.29,,GJ_coal_LHV,1,t,
IEA-GHG-2013,"Page 274 of 642, Document Page C-14, Volume 2, Section 4.1, Table C-6, Reference Case",No Capture,2013,PCI Coal,Input|Coal,Output|Steel Hot-rolled Coil,5.03,,GJ_coal_LHV,1,t,
IEA-GHG-2013,"Page 274 of 642, Document Page C-14, Volume 2, Section 4.2, Reference Case",No Capture,2013,Power plant,Input|Natural Gas,Output|Steel Hot-rolled Coil,0.849,,GJ_NG_LHV,1,t,
IEA-GHG-2013,"Page 274 of 642, Document Page C-14, Volume 2, Section 4.2, Reference Case",No Capture,2013,Steam production,Input|Natural Gas,Output|Steel Hot-rolled Coil,0,,GJ_NG_LHV,1,t,
IEA-GHG-2013,"Page 336 of 641, Document Page A3-10, Volume 2, Annex III, Table A3-4",No Capture,2013,Iron Ore Fines,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,3522020,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 339 of 641, Document Page A3-14, Volume 2, Annex III, Table A3-6",No Capture,2013,Lump Ore,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,497129,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 339 of 641, Document Page A3-14, Volume 2, Annex III, Table A3-6",No Capture,2013,Iron Ore Pellets,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,1396178,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 382 of 642, Document Page A4-1, Volume 2, Annex IV, Section 2",No Capture,2013,#,Lifetime,,25,,yr,,,
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, Reference Case",No Capture,2013,Maintenance,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,141996,,mnUSD_2010/yr,4,Mt/yr,
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, Reference Case",No Capture,2013,Labour,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,280721,,mnUSD_2010/yr,4,Mt/yr,
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, Reference Case",No Capture,2013,Miscellaneous,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,62247,,mnUSD_2010/yr,4,Mt/yr,"Miscellaneous works expense, other miscellaneous OPEX (incl. Environmental clean up)."
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, Reference Case",No Capture,2013,Other,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,8181,,mnUSD_2010/yr,4,Mt/yr,"Slag processing, on-site haulage, disposal and landfill."
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, Reference Case",No Capture,2013,#,OPEX Variable,Output|Steel Hot-rolled Coil,94431,,mnUSD_2010,4,Mt,Fluxes and Consumables & Other Utilities.
IEA-GHG-2013,"Page 275 of 642, Document Page C-15, Volume 2, Section 4.3, Table C-7, Reference Case",No Capture,2013,#,Output|Captured CO2,Output|Steel Hot-rolled Coil,0,,kg,1,t,
IEA-GHG-2013,"Page 289 of 642, Document Page D-12, Volume 2, Section 4.7, Table D-4, EOP‐L2 Case",End-of-pipe,2013,#,CAPEX,Output Capacity|Steel Hot-rolled Coil,5321,,mnUSD_2010,4,Mt/yr,Excluding recurring CAPEX.
IEA-GHG-2013,"Page 275 of 642, Document Page C-15, Volume 2, Section 4.3, Table C-7, EOP‐L2 Case",End-of-pipe,2013,#,GHG Emissions|CO2,Output|Steel Hot-rolled Coil,831.42,,kg CO2,1,t,
IEA-GHG-2013,"Page 274 of 642, Document Page C-14, Volume 2, Section 4.1, Table C-6, EOP‐L2 Case",End-of-pipe,2013,Coking coal,Input|Coal,Output|Steel Hot-rolled Coil,16.29,,GJ_coal_LHV,1,t,
IEA-GHG-2013,"Page 274 of 642, Document Page C-14, Volume 2, Section 4.1, Table C-6, EOP‐L2 Case",End-of-pipe,2013,PCI Coal,Input|Coal,Output|Steel Hot-rolled Coil,5.03,,GJ_coal_LHV,1,t,
IEA-GHG-2013,"Page 274 of 642, Document Page C-14, Volume 2, Section 4.1, Table C-6, EOP‐L2 Case",End-of-pipe,2013,Power plant,Input|Natural Gas,Output|Steel Hot-rolled Coil,3.93,,GJ_NG_LHV,1,t,
IEA-GHG-2013,"Page 274 of 642, Document Page C-14, Volume 2, Section 4.1, Table C-6, EOP‐L2 Case",End-of-pipe,2013,Steam production,Input|Natural Gas,Output|Steel Hot-rolled Coil,1.59,,GJ_NG_LHV,1,t,
IEA-GHG-2013,"Page 336 of 641, Document Page A3-10, Volume 2, Annex III, Table A3-4",End-of-pipe,2013,Iron Ore Fines,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,3522020,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 339 of 641, Document Page A3-14, Volume 2, Annex III, Table A3-6",End-of-pipe,2013,Lump Ore,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,497129,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 339 of 641, Document Page A3-14, Volume 2, Annex III, Table A3-6",End-of-pipe,2013,Iron Ore Pellets,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,1396178,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 271 of 641, Document Page C-11, Volume 2, Section 3.1, Table C-2",End-of-pipe,2013,#,Input|Water,Output|Steel Hot-rolled Coil,87.3,,t_H2O,1,t,
IEA-GHG-2013,"Page 382 of 642, Document Page A4-1, Volume 2, Annex IV, Section 2",End-of-pipe,2013,#,Lifetime,,25,,yr,,,
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, EOP‐L2 Case",End-of-pipe,2013,Maintenance,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,179996,,mnUSD_2010/yr,4,Mt/yr,
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, EOP‐L2 Case",End-of-pipe,2013,Labour,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,284763,,mnUSD_2010/yr,4,Mt/yr,
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, EOP‐L2 Case",End-of-pipe,2013,Miscellaneous,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,62247,,mnUSD_2010/yr,4,Mt/yr,"Miscellaneous works expense, other miscellaneous OPEX (incl. Environmental clean up)."
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, EOP‐L2 Case",End-of-pipe,2013,Other,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,12069,,mnUSD_2010/yr,4,Mt/yr,"Slag processing, on-site haulage, disposal and landfill."
IEA-GHG-2013,"Page 291 of 642, Document Page D-14, Volume 2, Section 5, Table D-5, EOP‐L2 Case",End-of-pipe,2013,#,OPEX Variable,Output|Steel Hot-rolled Coil,115976,,mnUSD_2010,4,Mt,Fluxes and Consumables & Other Utilities.
IEA-GHG-2013,"Page 275 of 642, Document Page C-15, Volume 2, Section 4.3, Table C-7",End-of-pipe,2013,#,Output|Captured CO2,Output|Steel Hot-rolled Coil,1532.8,,kg,1,t,
IEA-GHG-2013,"Page 507 of 642, Document Page D-16, Volume 3, Section 4.7, Table D-4",Top-gas recycling,2013,#,CAPEX,Output Capacity|Steel Hot-rolled Coil,4877,,mnUSD_2010,4,Mt/yr,Excluding recurring CAPEX.
IEA-GHG-2013,"Page 488 of 642, Document Page C-28, Volume 3, Section 6.5, Table C-17",Top-gas recycling,2013,#,GHG Emissions|CO2,Output|Steel Hot-rolled Coil,1118.75,,kg CO2,1,t,
IEA-GHG-2013,"Page 484 of 642, Document Page C-24, Volume 3, Section 6.1, Table C-13, Case with CO2 Capture",Top-gas recycling,2013,Coking coal,Input|Coal,Output|Steel Hot-rolled Coil,12.428,,GJ_coal_LHV,1,t,
IEA-GHG-2013,"Page 484 of 642, Document Page C-24, Volume 3, Section 6.1, Table C-13, Case with CO2 Capture",Top-gas recycling,2013,PCI Coal,Input|Coal,Output|Steel Hot-rolled Coil,5.032,,GJ_coal_LHV,1,t,
IEA-GHG-2013,"Page 483 of 642, Document Page C-23, Volume 3, Section 5, Table C-12, OBF/MDEA Case",Top-gas recycling,2013,Hot metal production,Input|Natural Gas,Output|Steel Hot-rolled Coil,745,,MJ_NG_LHV,1,t,
IEA-GHG-2013,"Page 483 of 642, Document Page C-23, Volume 3, Section 5, Table C-12, OBF/MDEA Case",Top-gas recycling,2013,Power plant,Input|Natural Gas,Output|Steel Hot-rolled Coil,3647,,MJ_NG_LHV,1,t,
IEA-GHG-2013,"Page 483 of 642, Document Page C-23, Volume 3, Section 5, Table C-12, OBF/MDEA Case",Top-gas recycling,2013,Steam production,Input|Natural Gas,Output|Steel Hot-rolled Coil,653,,MJ_NG_LHV,1,t,
IEA-GHG-2013,"Page 575 of 641, Document Page A2-6, Volume 3, Annex III, Table A3-2",Top-gas recycling,2013,Iron Ore Fines,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,3521487,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 578 of 641, Document Page A2-9, Volume 3, Annex III, Table A3-3",Top-gas recycling,2013,Lump Ore,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,497124,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 578 of 641, Document Page A2-9, Volume 3, Annex III, Table A3-3",Top-gas recycling,2013,Iron Ore Pellets,Input Capacity|Iron Ore,Output Capacity|Steel Hot-rolled Coil,1399333,,t/yr,4,Mt/yr,
IEA-GHG-2013,"Page 614 of 642, Document Page A4-1, Volume 3, Annex IV, Section 2",Top-gas recycling,2013,#,Lifetime,,25,,yr,,,
IEA-GHG-2013,"Page 519 of 642, Document Page D-28, Volume 3, Section 5.6, Table D-15, OBF / MDEA CO2 Capture Case",Top-gas recycling,2013,Maintenance,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,163633,,mnUSD_2010/yr,4,Mt/yr,
IEA-GHG-2013,"Page 519 of 642, Document Page D-28, Volume 3, Section 5.6, Table D-15, OBF / MDEA CO2 Capture Case",Top-gas recycling,2013,Labour,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,281661,,mnUSD_2010/yr,4,Mt/yr,
IEA-GHG-2013,"Page 519 of 642, Document Page D-28, Volume 3, Section 5.6, Table D-15, OBF / MDEA CO2 Capture Case",Top-gas recycling,2013,Miscellaneous,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,59036,,mnUSD_2010/yr,4,Mt/yr,"Miscellaneous works expense, other miscellaneous OPEX (incl. Environmental clean up)."
IEA-GHG-2013,"Page 519 of 642, Document Page D-28, Volume 3, Section 5.6, Table D-15, OBF / MDEA CO2 Capture Case",Top-gas recycling,2013,Other,OPEX Fixed,Output Capacity|Steel Hot-rolled Coil,8602,,mnUSD_2010/yr,4,Mt/yr,"Slag processing, on-site haulage, disposal and landfill."
IEA-GHG-2013,"Page 519 of 642, Document Page D-28, Volume 3, Section 5.6, Table D-15, OBF / MDEA CO2 Capture Case",Top-gas recycling,2013,#,OPEX Variable,Output|Steel Hot-rolled Coil,97171,,mnUSD_2010,4,Mt,Fluxes and Consumables & Other Utilities.
IEA-GHG-2013,"Page 488 of 642, Document Page C-28, Volume 3, Section 6.5, Table C-17",Top-gas recycling,2013,#,Output|Captured CO2,Output|Steel Hot-rolled Coil,859.8,,kg,1,t,
