source,source_detail,subtech,capture_rate,period,variable,reference_variable,value,uncertainty,unit,reference_value,reference_unit,comment
IEA-GHG-2017,"Page 8 of 286, Section General Criteria for Economic Evaluation",SMR,*,2017,Lifetime,,25,,year,,,
IEA-GHG-2017,"Page 236 of 286, Sheet 99 of 112, Section 8.3.2",SMR,*,2017,OCF,,95,,percent,,,
IEA-GHG-2017,"Page 13 of 286, Section Plant Performance",SMR,*,2017,Total Output Capacity|Hydrogen,,100000,,cubic_meter_H2_norm/hour,,,
IEA-GHG-2017,"Page 278 of 286, Sheet 111 of 112, Annex III, Base Case (no capture)",SMR,0.00%,2017,CAPEX,Output Capacity|Hydrogen,222886722,,EUR_2014,100000,cubic_meter_H2_norm/hour,
IEA-GHG-2017,"Page 16 of 286, Section Plant Performance, Table 2: Plant Performance Summary, Base Case (no capture) ",SMR,0.00%,2017,Capture Rate,,0,,percent,,,
IEA-GHG-2017,"Page 16 of 286, Section Plant Performance, Table 2: Plant Performance Summary, Base Case (no capture) ",SMR,0.00%,2017,Input|Natural Gas,Output|Hydrogen,14.212,,MJ_NG_LHV,1,cubic_meter_H2_norm,
IEA-GHG-2017,"Page 18 of 286, Section Operating Cost, Table 4: Operating Cost of SMR Based H2 Plant, Base Case (no capture) ",SMR,0.00%,2017,OPEX Fixed,Output Capacity|Hydrogen,7545514,,EUR_2014/year,100000,cubic_meter_H2_norm/hour,
IEA-GHG-2017,"Page 18 of 286, Section Operating Cost, Table 4: Operating Cost of SMR Based H2 Plant, Base Case (no capture) ",SMR,0.00%,2017,OPEX Variable,Output|Hydrogen,519365,,EUR_2014,95000,cubic_meter_H2_norm/hour*year,"Annual production is 95 % of one year times 100,000 Nm³/h. Variable costs exclude feedstock and fuel costs."
IEA-GHG-2017,"Page 16 of 286, Section Plant Performance, Table 2: Plant Performance Summary, Base Case (no capture) ",SMR,0.00%,2017,Output|Electricity,Output|Hydrogen,9.918,,MWh,100000,cubic_meter_H2_norm,
IEA-GHG-2017,"Page 278 of 286, Sheet 111 of 112, Annex III, Case 1A (CO2 Capture from Shifted Syngas using MDEA)",SMR,55.70%,2017,CAPEX,Output Capacity|Hydrogen,263906811,,EUR_2014,100000,cubic_meter_H2_norm/hour,
IEA-GHG-2017,"Page 16 of 286, Section Plant Performance, Table 2: Plant Performance Summary, Case 1A (CO2 Capture from Shifted Syngas using MDEA) ",SMR,55.70%,2017,Capture Rate,,55.7,,percent,,,
IEA-GHG-2017,"Page 16 of 286, Section Plant Performance, Table 2: Plant Performance Summary, Case 1A (CO2 Capture from Shifted Syngas using MDEA) ",SMR,55.70%,2017,Input|Natural Gas,Output|Hydrogen,14.676,,MJ_NG_LHV,1,cubic_meter_H2_norm,
IEA-GHG-2017,"Page 18 of 286, Section Operating Cost, Table 4: Operating Cost of SMR Based H2 Plant, Case 1A (CO2  Capture from Shifted Syngas using MDEA) ",SMR,55.70%,2017,OPEX Fixed,Output Capacity|Hydrogen,8762347,,EUR_2014/year,100000,cubic_meter_H2_norm/hour,
IEA-GHG-2017,"Table 4: Plant Performance Summary, Document page 18/286; Case 1A (CO2  Capture from Shifted Syngas using MDEA) ",SMR,55.70%,2017,OPEX Variable,Output|Hydrogen,521861,,EUR_2014,95000,cubic_meter_H2_norm/hour*year,"Annual production is 95 % of one year times 100,000 Nm³/h. Variable costs exclude feedstock and fuel costs."
IEA-GHG-2017,"Table 4: Plant Performance Summary, Document page 18/286; Case 1A (CO2  Capture from Shifted Syngas using MDEA) ",SMR,55.70%,2017,Output|Electricity,Output|Hydrogen,1.491,,MWh,100000,cubic_meter_H2_norm,
IEA-GHG-2017,"Page 278 of 286, Sheet 111 of 112, Annex III, Case 3 (CO2 Capture from SMR’s Flue Gas using MEA)",SMR,90.00%,2017,CAPEX,Output Capacity|Hydrogen,398483906,,EUR_2014,100000,cubic_meter_H2_norm/hour,
IEA-GHG-2017,"Page 16 of 286, Section Plant Performance, Table 2: Plant Performance Summary, Case 3 (CO2  Capture from SMR’s Flue Gas using MEA) ",SMR,90.00%,2017,Capture Rate,,90,,percent,,,
IEA-GHG-2017,"Page 16 of 286, Section Plant Performance, Table 2: Plant Performance Summary, Case 3 (CO2  Capture from SMR’s Flue Gas using MEA) ",SMR,90.00%,2017,Input|Natural Gas,Output|Hydrogen,15.614,,MJ_NG_LHV,1,cubic_meter_H2_norm,
IEA-GHG-2017,"Page 18 of 286, Section Operating Cost, Table 4: Operating Cost of SMR Based H2 Plant, Case 3 (CO2  Capture from SMR’s Flue Gas using MEA) ",SMR,90.00%,2017,OPEX Fixed,Output Capacity|Hydrogen,11536790,,EUR_2014/year,100000,cubic_meter_H2_norm/hour,
IEA-GHG-2017,"Page 18 of 286, Section Operating Cost, Table 4: Operating Cost of SMR Based H2 Plant, Case 3 (CO2  Capture from SMR’s Flue Gas using MEA) ",SMR,90.00%,2017,OPEX Variable,Output|Hydrogen,490071,,EUR_2014,95000,cubic_meter_H2_norm/hour*year,"Annual production is 95 % of one year times 100,000 Nm³/h. Variable costs exclude feedstock and fuel costs."
IEA-GHG-2017,"Page 16 of 286, Section Plant Performance, Table 2: Plant Performance Summary, Case 3 (CO2  Capture from SMR’s Flue Gas using MEA) ",SMR,90.00%,2017,Output|Electricity,Output|Hydrogen,0.426,,MWh,100000,cubic_meter_H2_norm,
Lewis-2022,"Page 43 of 327, Document Page 25",*,*,2023,Lifetime,,30,,year,,,
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2",*,*,2023,OCF,,90,,percent,,,
Lewis-2022,"Page 291 of 327, Document Page 273, Section 5.2, Exhibit 5-7",ATR,94.50%,2023,CAPEX,Output Capacity|Hydrogen,1467,293.4,USD_2018,1,kg_H2/day,Using Total As-Spent Cost; Source reports -15%/+25% uncertainty in Exhibit 2-22. We use +-20% here.
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2",ATR,94.50%,2023,Capture Rate,,94.5,,percent,,,
Lewis-2022,"Page 6 of 327, Document Page 6, Results Analysis, Exhibit ES-2",ATR,94.50%,2023,Input|Electricity,Output|Hydrogen,110,,MWh,60627,lb_H2,
Lewis-2022,"Results Analysis, Exhibit ES-2, Page 6 (24/237), Case 3",ATR,94.50%,2023,Input|Natural Gas,Output|Hydrogen,213694,,lb_NG,60627,lb_H2,
Lewis-2022,"Page 140 of 327, Document Page 122, Section 3.15, Exhibit 3-48",ATR,94.50%,2023,OPEX Fixed,Output Capacity|Hydrogen,24729734,,USD_2018/year,659999,kg_H2/day,
Lewis-2022,"Page 141 of 327, Document Page 123, Section 3.15, Exhibit 3-48",ATR,94.50%,2023,OPEX Variable,Output|Hydrogen,0.3576,,USD_2018,1,kg_H2,
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2",ATR,94.50%,2023,Total Output Capacity|Hydrogen,,60627,,lb_H2/hour,,,
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2",SMR,*,2023,Total Output Capacity|Hydrogen,,44369,,lb_H2/hour,,,
Lewis-2022,"Page 291 of 327, Document Page 273, Section 5.2, Exhibit 5-7, Case 1",SMR,0.00%,2023,CAPEX,Output Capacity|Hydrogen,763,152.6,USD_2018,1,kg_H2/day,Using Total As-Spent Cost; Source reports -15%/+25% uncertainty in Exhibit 2-22. We use +-20% here.
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2, Case 1",SMR,0.00%,2023,Capture Rate,,0,,percent,,,
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2, Case 1",SMR,0.00%,2023,Input|Electricity,Output|Hydrogen,13,,MWh,44369,lb_H2,
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2, Case 1",SMR,0.00%,2023,Input|Natural Gas,Output|Hydrogen,156482,,lb_NG,44369,lb_H2,
Lewis-2022,"Page 94 of 327, Document Page 76, Section 3.7, Exhibit 3-15",SMR,0.00%,2023,OPEX Fixed,Output Capacity|Hydrogen,10633798,,USD_2018/year,483014,kg_H2/day,
Lewis-2022,"Page 95 of 327, Document page 77, Section 3.7, Exhibit 3-15",SMR,0.00%,2023,OPEX Variable,Output|Hydrogen,0.0869,,USD_2018,1,kg_H2,
Lewis-2022,"Page 291 of 327, Document Page 273, Section 5.2, Exhibit 5-7, Case 2",SMR,96.20%,2023,CAPEX,Output Capacity|Hydrogen,1856,371.2,USD_2018,1,kg_H2/day,Using Total As-Spent Cost; Source reports -15%/+25% uncertainty in Exhibit 2-22. We use +-20% here.
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2, Case 2",SMR,96.20%,2023,Capture Rate,,96.2,,percent,,,
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2, Case 2",SMR,96.20%,2023,Input|Electricity,Output|Hydrogen,41,,MWh,44369,lb_H2,
Lewis-2022,"Page 24 of 327, Document Page 6, Results Analysis, Exhibit ES-2, Case 2",SMR,96.20%,2023,Input|Natural Gas,Output|Hydrogen,166387,,lb_NG,44369,lb_H2,
Lewis-2022,"Page 118 of 327, Document Page 100, Section 3.11, Exhibit 3-33",SMR,96.20%,2023,OPEX Fixed,Output Capacity|Hydrogen,23332796,,USD_2018/year,483014,kg_H2/day,
Lewis-2022,"Page 119 of 327, Document Page 101, Section 3.11, Exhibit 3-33",SMR,96.20%,2023,OPEX Variable,Output|Hydrogen,0.24199,,USD_2018,1,kg_H2,
